genus,species,id,year,lat,long,elev,budburst,flowers,fruits,leafout,col.leaves,leafdrop,last.obs,gdd.start,yr.end,type
Acer,rubrum,166763,2019,42.303822,-71.120308,13,103,97,115,115,269,269,269,46,365,Treespotters
Acer,rubrum,166763,2020,42.303822,-71.120308,13,119,75,120,124,220,257,257,46,366,Treespotters
Acer,rubrum,166764,2019,42.303822,-71.120308,13,103,95,NA,111,239,288,288,46,365,Treespotters
Acer,rubrum,166764,2020,42.303822,-71.120308,13,119,80,NA,119,257,257,257,46,366,Treespotters
Acer,rubrum,166765,2019,42.303822,-71.120308,13,91,86,NA,111,NA,263,263,46,365,Treespotters
Acer,rubrum,166765,2020,42.303822,-71.120308,13,105,71,NA,120,220,257,257,46,366,Treespotters
Acer,rubrum,166766,2019,42.303822,-71.120308,13,107,92,NA,111,286,293,293,46,365,Treespotters
Acer,rubrum,166766,2020,42.303822,-71.120308,13,120,NA,NA,120,258,271,271,46,366,Treespotters
Acer,rubrum,166767,2019,42.303822,-71.120308,13,106,92,117,115,269,286,286,46,365,Treespotters
Acer,rubrum,166767,2020,42.303822,-71.120308,13,120,NA,124,120,258,271,271,46,366,Treespotters
Acer,saccharum,92203,2016,42.303822,-71.120308,13,130,NA,NA,133,288,315,315,46,366,Treespotters
Acer,saccharum,92203,2017,42.303822,-71.120308,13,127,NA,NA,131,294,294,294,46,365,Treespotters
Acer,saccharum,92203,2018,42.303822,-71.120308,13,125,NA,NA,127,285,292,292,46,365,Treespotters
Acer,saccharum,92203,2019,42.303822,-71.120308,13,120,NA,NA,126,260,285,285,46,365,Treespotters
Acer,saccharum,92203,2020,42.303822,-71.120308,13,126,NA,NA,133,253,271,271,46,366,Treespotters
Acer,saccharum,92204,2016,42.303822,-71.120308,13,109,108,125,112,293,315,315,46,366,Treespotters
Acer,saccharum,92204,2017,42.303822,-71.120308,13,101,105,127,108,271,276,276,46,365,Treespotters
Acer,saccharum,92204,2019,42.303822,-71.120308,13,106,107,126,111,279,278,278,46,365,Treespotters
Acer,saccharum,92204,2020,42.303822,-71.120308,13,122,108,162,121,291,291,291,46,366,Treespotters
