Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
1199*J,1199,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.",,,River Birch,Tree,1199,07-17-1877,Seed,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,X,,,,,,,,"Dawson, L. Y.",,,United States,"Massachusetts, Lowell",,,,,,,,,,,,,13-NE,13,NE,42.30252077,-71.12397574,12/31/2017,Alive,,10/12/2017,87.5,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.9,No
1251-79*B,1251-79,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.",,,River Birch,Tree,1251-79,12-20-1979,Seedling,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,,,1979 Koller/Alexander Missouri/Illi,,,,,,"Koller, G. L. and Alexander, J. H.",,01-25-1979,United States,Missouri,,"approximately 3 miles southeast of Zalma, along south bank of Castor River",,,,,,,,,,,13-SE,13,SE,42.30228781,-71.12445659,12/31/2017,Alive,,10/11/2017,70.8,C,at 1m,,,,,,,,,2.9,No
1251-79*A,1251-79,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.",,,River Birch,Tree,1251-79,12-20-1979,Seedling,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,,,1979 Koller/Alexander Missouri/Illi,,,,,,"Koller, G. L. and Alexander, J. H.",,01-25-1979,United States,Missouri,,"approximately 3 miles southeast of Zalma, along south bank of Castor River",,,,,,,,,,,13-SE,13,SE,42.30223154,-71.12410601,12/31/2017,Alive,,,78,C,basal,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.1,No
1251-79*E,1251-79,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.",,,River Birch,Tree,1251-79,12-20-1979,Seedling,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,,,1979 Koller/Alexander Missouri/Illi,,,,,,"Koller, G. L. and Alexander, J. H.",,01-25-1979,United States,Missouri,,"approximately 3 miles southeast of Zalma, along south bank of Castor River",,,,,,,,,,,13-SE,13,SE,42.3022236,-71.12398789,12/31/2017,Alive,,6/14/2017,70,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.1,No
1199*D,1199,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * 1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.",,,River Birch,Tree,1199,07-17-1877,Seed,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,X,,,,,,,,"Dawson, L. Y.",,,United States,"Massachusetts, Lowell",,,,,,,,,,,,,13-SE,13,SE,42.30215088,-71.12401559,12/31/2017,Alive,,6/14/2017,68,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.1,No
12843*A,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,14-SW,14,SW,42.3020682,-71.12386246,12/31/2017,Alive,,,73.8,C,,,,,,,,,,2.1,No
12843*D,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,14-SW,14,SW,42.30204101,-71.12388059,12/31/2017,Alive,,6/29/2017,70.9,C,at ca. .5m,,,,,,,,,2.1,No
12843*H,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,14-SW,14,SW,42.30199149,-71.12371027,12/31/2017,Alive,,6/29/2017,64.6,C,,,,,,,,,"McAllister, Hugh, 01 Oct 2012, Betula x caerulea, 3",2.1,No
12843*E,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,14-SW,14,SW,42.30194578,-71.12374252,12/31/2017,Alive,,6/29/2017,56.2,C,at ca. 1m,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula alleghaniensis, 3",2.1,No
629-83*D,629-83,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,629-83,03-22-1983,Seedling,Betula lutea,Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Morton Arboretum, Lisle, IL, United States","409-81, 535-81",,,,,,,,United States,"Illinois, Lee County",,,,,,,,,,,,,20-NW,20,NW,42.30183747,-71.12308955,12/31/2017,Alive,,6/29/2017,36.5,C,basal,,,,,,,,,2.3,No
