Common name,Scientific name,Nativity,Family,Accession Number and Qualifier,Accession Year,Arb location,Tree Spotters Route and Number,Tree Spotters Route,Lat,Long,Collector,Provenanace
American Beech,Fagus grandifolia,Native to Eastern North America,FAGACEAE - BEECH FAMILY,14585*D,1885,Beech Collection,Beech Route #2,Beech Route,42.29833046,-71.12294749,"Dawson, J. T.",Collected directly from the wild; origin known
American Beech,Fagus grandifolia,Native to Eastern North America,FAGACEAE - BEECH FAMILY,14585*G,1885,Beech Collection,Beech Route #4,Beech Route,42.2983337,-71.12265119,"Dawson, J. T.",Collected directly from the wild; origin known
American Linden,Tilia americana,Native to Eastern and Central North America,TILIACEAE - LINDEN FAMILY,17527*D,1897,Linden Collection,Linden/North Woods Route #1,Linden/North Woods Route,42.3051232,-71.12189286,N/A,From a cultivated plant not of known wild origin
American Linden,Tilia americana,Native to Eastern and Central North America,TILIACEAE - LINDEN FAMILY,19804*A,1916,Linden Collection,Linden/North Woods Route #2,Linden/North Woods Route,42.30440147,-71.12199832,"Deam, C. C.",Collected directly from the wild; origin known
American Linden,Tilia americana,Native to Eastern and Central North America,TILIACEAE - LINDEN FAMILY,7141*A,1912,Linden Collection,Linden/North Woods Route #3,Linden/North Woods Route,42.30415322,-71.12252621,N/A,From a cultivated plant not of known wild origin
American Linden,Tilia americana,Native to Eastern and Central North America,TILIACEAE - LINDEN FAMILY,1323-82*A,1982,Peters Hill,Peters Hill Route #1,Peters Hill Route,42.29514117,-71.12601307,"Hay, I., Geary, S.",Collected directly from the wild; origin known
American Linden,Tilia americana,Native to Eastern and Central North America,TILIACEAE - LINDEN FAMILY,17538*A,1906,Peters Hill,Peters Hill Route #10,Peters Hill Route,42.29325928,-71.12871082,"Jack, J. G.",Collected directly from the wild; origin known
Eastern Cottonwood,Populus deltoides ssp. deltoides,Native to Eastern and Central North America,SALICACEAE - WILLOW FAMILY,16611*F,1895,Peters Hill,Peters Hill Route #2,Peters Hill Route,42.29432229,-71.12466088,"Jack, J. G.",Collected directly from the wild; origin known
Eastern Cottonwood,Populus deltoides ssp. deltoides,Native to Eastern and Central North America,SALICACEAE - WILLOW FAMILY,16611*J,1895,Peters Hill,Peters Hill Route #3,Peters Hill Route,42.2941909,-71.12464076,"Jack, J. G.",Collected directly from the wild; origin known
Eastern Cottonwood,Populus deltoides ssp. deltoides,Native to Eastern and Central North America,SALICACEAE - WILLOW FAMILY,16611*K,1895,Peters Hill,Peters Hill Route #4,Peters Hill Route,42.29404926,-71.12460511,"Jack, J. G.",Collected directly from the wild; origin known
