Common_Name,phase,year,doy,id,Scientific_Names
red maple,budburst,2019,103,166764,Acer rubrum
red maple,budburst,2019,91,166765,Acer rubrum
red maple,budburst,2019,107,166765,Acer rubrum
red maple,budburst,2019,133,166765,Acer rubrum
red maple,budburst,2020,119,166764,Acer rubrum
red maple,budburst,2020,105,166765,Acer rubrum
red maple,budburst,2020,119,166765,Acer rubrum
red maple,budburst,2021,101,166765,Acer rubrum
red maple,leafout,2019,111,166764,Acer rubrum
red maple,leafout,2019,146,166764,Acer rubrum
red maple,leafout,2019,260,166764,Acer rubrum
red maple,leafout,2019,278,166764,Acer rubrum
red maple,leafout,2019,296,166764,Acer rubrum
red maple,leafout,2019,111,166765,Acer rubrum
red maple,leafout,2019,145,166765,Acer rubrum
red maple,leafout,2019,263,166765,Acer rubrum
red maple,leafout,2020,119,166764,Acer rubrum
red maple,leafout,2020,120,166765,Acer rubrum
red maple,leafout,2021,114,166764,Acer rubrum
red maple,leafout,2021,114,166765,Acer rubrum
red maple,Increasing leaf size,2019,111,166764,Acer rubrum
red maple,Increasing leaf size,2019,120,166765,Acer rubrum
red maple,Increasing leaf size,2020,119,166764,Acer rubrum
red maple,Increasing leaf size,2020,120,166765,Acer rubrum
red maple,Increasing leaf size,2021,114,166764,Acer rubrum
red maple,Increasing leaf size,2021,114,166765,Acer rubrum
red maple,Colored leaves,2019,239,166764,Acer rubrum
red maple,Colored leaves,2019,275,166764,Acer rubrum
red maple,Colored leaves,2020,257,166764,Acer rubrum
red maple,Colored leaves,2020,220,166765,Acer rubrum
red maple,Colored leaves,2020,236,166765,Acer rubrum
red maple,leaf drop,2018,293,166765,Acer rubrum
red maple,leaf drop,2019,288,166764,Acer rubrum
red maple,leaf drop,2019,263,166765,Acer rubrum
red maple,leaf drop,2019,286,166765,Acer rubrum
red maple,leaf drop,2020,257,166764,Acer rubrum
red maple,leaf drop,2020,271,166764,Acer rubrum
red maple,leaf drop,2020,291,166764,Acer rubrum
red maple,leaf drop,2020,257,166765,Acer rubrum
red maple,flowers,2019,95,166764,Acer rubrum
red maple,flowers,2019,86,166765,Acer rubrum
red maple,flowers,2019,115,166765,Acer rubrum
red maple,flowers,2020,80,166764,Acer rubrum
red maple,flowers,2020,71,166765,Acer rubrum
red maple,flowers,2021,86,166764,Acer rubrum
red maple,flowers,2021,81,166765,Acer rubrum
red maple,Open flowers,2019,96,166764,Acer rubrum
red maple,Open flowers,2019,89,166765,Acer rubrum
red maple,Open flowers,2019,96,166765,Acer rubrum
red maple,Open flowers,2019,115,166765,Acer rubrum
red maple,Open flowers,2020,87,166764,Acer rubrum
red maple,Open flowers,2020,72,166765,Acer rubrum
red maple,Open flowers,2021,86,166764,Acer rubrum
red maple,Open flowers,2021,84,166765,Acer rubrum
red maple,Pollen release (flowers),2020,92,166764,Acer rubrum
red maple,Pollen release (flowers),2020,75,166765,Acer rubrum
red maple,Pollen release (flowers),2020,92,166765,Acer rubrum
red maple,Pollen release (flowers),2021,86,166765,Acer rubrum
red maple,Pollen release (flowers),2021,93,166765,Acer rubrum
red maple,Pollen release (flowers),2021,100,166765,Acer rubrum
