Common_Name,phase,year,doy,id,Scientific_Names
red maple,budburst,2019,89,166764,Acer rubrum
red maple,budburst,2019,94,166764,Acer rubrum
red maple,budburst,2019,101,166764,Acer rubrum
red maple,budburst,2019,103,166764,Acer rubrum
red maple,budburst,2019,126,166764,Acer rubrum
red maple,budburst,2019,133,166764,Acer rubrum
red maple,budburst,2019,138,166764,Acer rubrum
red maple,budburst,2019,150,166764,Acer rubrum
red maple,budburst,2019,157,166764,Acer rubrum
red maple,budburst,2019,91,166765,Acer rubrum
red maple,budburst,2019,101,166765,Acer rubrum
red maple,budburst,2019,103,166765,Acer rubrum
red maple,budburst,2019,107,166765,Acer rubrum
red maple,budburst,2019,133,166765,Acer rubrum
red maple,budburst,2019,142,166765,Acer rubrum
red maple,budburst,2019,150,166765,Acer rubrum
red maple,budburst,2019,155,166765,Acer rubrum
red maple,budburst,2020,54,166764,Acer rubrum
red maple,budburst,2020,69,166764,Acer rubrum
red maple,budburst,2020,76,166764,Acer rubrum
red maple,budburst,2020,108,166764,Acer rubrum
red maple,budburst,2020,112,166764,Acer rubrum
red maple,budburst,2020,119,166764,Acer rubrum
red maple,budburst,2020,54,166765,Acer rubrum
red maple,budburst,2020,85,166765,Acer rubrum
red maple,budburst,2020,98,166765,Acer rubrum
red maple,budburst,2020,105,166765,Acer rubrum
red maple,budburst,2020,119,166765,Acer rubrum
red maple,budburst,2020,145,166765,Acer rubrum
red maple,budburst,2021,108,166764,Acer rubrum
red maple,budburst,2021,127,166764,Acer rubrum
red maple,budburst,2021,101,166765,Acer rubrum
red maple,budburst,2021,127,166765,Acer rubrum
red maple,budburst,2021,134,166765,Acer rubrum
red maple,leafout,2018,263,166764,Acer rubrum
red maple,leafout,2018,259,166765,Acer rubrum
red maple,leafout,2019,111,166764,Acer rubrum
red maple,leafout,2019,146,166764,Acer rubrum
red maple,leafout,2019,260,166764,Acer rubrum
red maple,leafout,2019,275,166764,Acer rubrum
red maple,leafout,2019,278,166764,Acer rubrum
red maple,leafout,2019,288,166764,Acer rubrum
red maple,leafout,2019,296,166764,Acer rubrum
red maple,leafout,2019,111,166765,Acer rubrum
red maple,leafout,2019,145,166765,Acer rubrum
red maple,leafout,2019,257,166765,Acer rubrum
red maple,leafout,2019,263,166765,Acer rubrum
red maple,leafout,2019,275,166765,Acer rubrum
red maple,leafout,2019,279,166765,Acer rubrum
red maple,leafout,2019,288,166765,Acer rubrum
red maple,leafout,2019,296,166765,Acer rubrum
red maple,leafout,2020,119,166764,Acer rubrum
red maple,leafout,2020,120,166765,Acer rubrum
red maple,leafout,2020,306,166765,Acer rubrum
red maple,leafout,2021,114,166764,Acer rubrum
red maple,leafout,2021,114,166765,Acer rubrum
red maple,Increasing leaf size,2019,111,166764,Acer rubrum
red maple,Increasing leaf size,2019,141,166764,Acer rubrum
red maple,Increasing leaf size,2019,150,166764,Acer rubrum
red maple,Increasing leaf size,2019,155,166764,Acer rubrum
red maple,Increasing leaf size,2019,175,166764,Acer rubrum
red maple,Increasing leaf size,2019,189,166764,Acer rubrum
red maple,Increasing leaf size,2019,228,166764,Acer rubrum
red maple,Increasing leaf size,2019,111,166765,Acer rubrum
red maple,Increasing leaf size,2019,115,166765,Acer rubrum
red maple,Increasing leaf size,2019,120,166765,Acer rubrum
red maple,Increasing leaf size,2019,141,166765,Acer rubrum
red maple,Increasing leaf size,2019,150,166765,Acer rubrum
red maple,Increasing leaf size,2019,155,166765,Acer rubrum
red maple,Increasing leaf size,2019,189,166765,Acer rubrum
red maple,Increasing leaf size,2020,119,166764,Acer rubrum
red maple,Increasing leaf size,2020,147,166764,Acer rubrum
red maple,Increasing leaf size,2020,159,166764,Acer rubrum
red maple,Increasing leaf size,2020,120,166765,Acer rubrum
red maple,Increasing leaf size,2020,159,166765,Acer rubrum
red maple,Increasing leaf size,2021,114,166764,Acer rubrum
red maple,Increasing leaf size,2021,114,166765,Acer rubrum
red maple,Colored leaves,2018,263,166764,Acer rubrum
red maple,Colored leaves,2018,259,166765,Acer rubrum
red maple,Colored leaves,2019,115,166764,Acer rubrum
red maple,Colored leaves,2019,239,166764,Acer rubrum
red maple,Colored leaves,2019,257,166764,Acer rubrum
red maple,Colored leaves,2019,260,166764,Acer rubrum
red maple,Colored leaves,2019,269,166764,Acer rubrum
red maple,Colored leaves,2019,275,166764,Acer rubrum
red maple,Colored leaves,2019,239,166765,Acer rubrum
red maple,Colored leaves,2020,220,166764,Acer rubrum
red maple,Colored leaves,2020,236,166764,Acer rubrum
red maple,Colored leaves,2020,257,166764,Acer rubrum
red maple,Colored leaves,2020,155,166765,Acer rubrum
red maple,Colored leaves,2020,162,166765,Acer rubrum
red maple,Colored leaves,2020,169,166765,Acer rubrum
red maple,Colored leaves,2020,178,166765,Acer rubrum
red maple,Colored leaves,2020,183,166765,Acer rubrum
red maple,Colored leaves,2020,220,166765,Acer rubrum
red maple,Colored leaves,2020,236,166765,Acer rubrum
red maple,Colored leaves,2020,306,166765,Acer rubrum
red maple,leaf drop,2018,287,166764,Acer rubrum
red maple,leaf drop,2018,321,166764,Acer rubrum
red maple,leaf drop,2018,263,166765,Acer rubrum
red maple,leaf drop,2018,293,166765,Acer rubrum
red maple,leaf drop,2018,321,166765,Acer rubrum
red maple,leaf drop,2019,263,166764,Acer rubrum
red maple,leaf drop,2019,269,166764,Acer rubrum
red maple,leaf drop,2019,278,166764,Acer rubrum
red maple,leaf drop,2019,288,166764,Acer rubrum
red maple,leaf drop,2019,257,166765,Acer rubrum
red maple,leaf drop,2019,263,166765,Acer rubrum
red maple,leaf drop,2019,286,166765,Acer rubrum
red maple,leaf drop,2020,69,166764,Acer rubrum
red maple,leaf drop,2020,220,166764,Acer rubrum
red maple,leaf drop,2020,257,166764,Acer rubrum
red maple,leaf drop,2020,271,166764,Acer rubrum
red maple,leaf drop,2020,291,166764,Acer rubrum
red maple,leaf drop,2020,321,166764,Acer rubrum
red maple,leaf drop,2020,178,166765,Acer rubrum
red maple,leaf drop,2020,213,166765,Acer rubrum
red maple,leaf drop,2020,250,166765,Acer rubrum
