"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American basswood",2016,"budburst",86289,122.461538461538,118,26,94,166,72,12.75
"American basswood",2016,"budburst",86290,117.5,119,12,111,123,12,4.5
"American basswood",2016,"budburst",87757,121.086956521739,119,23,94,157,63,15
"American basswood",2016,"budburst",87762,120.153846153846,119,13,111,150,39,7
"American basswood",2016,"budburst",87763,116.25,117,16,105,125,20,6.75
"American basswood",2016,"Colored leaves",86289,247.454545454545,294,11,148,318,170,159.5
"American basswood",2016,"Colored leaves",86290,293.272727272727,296.5,22,255,323,68,22.75
"American basswood",2016,"Colored leaves",87757,249.823529411765,291,17,148,315,167,150
"American basswood",2016,"Colored leaves",87762,293.142857142857,296,21,255,323,68,23
"American basswood",2016,"Colored leaves",87763,281.4375,281.5,16,255,304,49,25.25
"American basswood",2016,"flowers",86289,167.333333333333,162.5,12,153,189,36,26.5
"American basswood",2016,"flowers",86290,164.416666666667,167,12,145,190,45,28
"American basswood",2016,"flowers",87757,159,159,2,159,159,0,0
"American basswood",2016,"flowers",87762,164.8,169,10,130,190,60,19.25
"American basswood",2016,"flowers",87763,169.6875,169,16,152,193,41,22.75
"American basswood",2016,"Fruits",86289,248.5,248.5,2,248,249,1,0.5
"American basswood",2016,"Fruits",86290,269.8,281.5,20,199,304,105,42
"American basswood",2016,"Fruits",87757,247.5,247.5,2,247,248,1,0.5
"American basswood",2016,"Fruits",87762,282.173913043478,290,23,202,319,117,30
"American basswood",2016,"Fruits",87763,277.6,290,25,193,323,130,48
"American basswood",2016,"Increasing leaf size",86289,152.347826086957,152,23,118,201,83,18.5
"American basswood",2016,"Increasing leaf size",86290,134.533333333333,139,15,119,150,31,24.5
"American basswood",2016,"Increasing leaf size",87757,157.47619047619,152,21,136,201,65,11
"American basswood",2016,"Increasing leaf size",87762,133.428571428571,136,14,119,150,31,19.75
"American basswood",2016,"Increasing leaf size",87763,130.4375,124,16,112,150,38,24.5
"American basswood",2016,"leaf drop",86289,314.333333333333,316.5,6,294,325,31,8.25
"American basswood",2016,"leaf drop",86290,291.153846153846,296,13,262,304,42,16
"American basswood",2016,"leaf drop",87757,297.6,304,15,262,315,53,19
"American basswood",2016,"leaf drop",87762,296,297,7,282,304,22,5.5
"American basswood",2016,"leaf drop",87763,290.363636363636,293,11,262,317,55,13.5
"American basswood",2016,"leafout",86289,179.545454545455,154.5,44,118,312,194,61
"American basswood",2016,"leafout",86290,212.132075471698,190,53,115,323,208,141
"American basswood",2016,"leafout",87757,184.444444444444,155,45,118,312,194,88
"American basswood",2016,"leafout",87762,213.788461538462,196,52,115,323,208,140.5
"American basswood",2016,"leafout",87763,193.620689655172,173,58,115,304,189,125.25
"American basswood",2016,"Open flowers",86289,192.142857142857,193,7,188,196,8,5
"American basswood",2016,"Open flowers",86290,190,190,1,190,190,0,0
"American basswood",2016,"Open flowers",87762,186,186,2,182,190,8,4
"American basswood",2016,"Open flowers",87763,185,184.5,4,178,193,15,12
"American basswood",2016,"Pollen release (flowers)",86289,192.833333333333,193.5,6,189,196,7,4
"American basswood",2016,"Pollen release (flowers)",86290,189.5,189.5,2,189,190,1,0.5
