"observerID","year","observation_year","observation_total"
19414,2015,2813,30291
19414,2016,2452,30291
19414,2017,3803,30291
19414,2018,3199,30291
19414,2019,2708,30291
19414,2020,15316,30291
28846,2016,4470,22430
28846,2017,6701,22430
28846,2018,3289,22430
28846,2019,3242,22430
28846,2020,4728,22430
36135,2017,800,22249
36135,2018,3269,22249
36135,2019,8175,22249
36135,2020,10005,22249
25556,2015,2593,21590
25556,2016,2939,21590
25556,2017,3553,21590
25556,2018,3758,21590
25556,2019,3832,21590
25556,2020,4915,21590
30145,2016,1268,16721
30145,2017,5007,16721
30145,2018,2907,16721
30145,2019,4139,16721
30145,2020,3400,16721
31858,2016,1178,12290
31858,2017,2169,12290
31858,2018,3553,12290
31858,2019,3960,12290
31858,2020,1430,12290
31240,2016,1264,11780
31240,2017,2241,11780
31240,2018,3681,11780
31240,2019,2266,11780
31240,2020,2328,11780
26122,2015,327,11632
26122,2016,1851,11632
26122,2017,2069,11632
26122,2018,1999,11632
26122,2019,2368,11632
26122,2020,3018,11632
25505,2015,3080,11451
25505,2016,3517,11451
25505,2017,1858,11451
25505,2018,1551,11451
25505,2019,1313,11451
25505,2020,132,11451
35675,2017,2189,10718
35675,2018,3475,10718
35675,2019,4567,10718
35675,2020,487,10718
43399,2018,846,6593
43399,2019,5527,6593
43399,2020,220,6593
29483,2016,2578,6210
29483,2017,1853,6210
29483,2018,154,6210
29483,2019,1625,6210
34731,2017,2399,5780
34731,2018,516,5780
34731,2019,2240,5780
34731,2020,625,5780
43735,2018,108,5746
43735,2019,4319,5746
43735,2020,1319,5746
34586,2017,1089,5417
34586,2018,1086,5417
34586,2019,2172,5417
34586,2020,1070,5417
30377,2016,327,5318
30377,2017,1697,5318
30377,2018,1645,5318
30377,2019,1649,5318
33952,2017,3690,5107
33952,2018,1417,5107
47011,2019,2080,4883
47011,2020,2803,4883
47328,2019,3761,4636
47328,2020,875,4636
28810,2016,3310,4579
28810,2018,1269,4579
29482,2016,2693,3949
29482,2017,1256,3949
46197,2019,1356,3733
46197,2020,2377,3733
25865,2015,1230,3621
25865,2016,1125,3621
25865,2017,77,3621
25865,2018,1145,3621
25865,2020,44,3621
31879,2016,212,3379
31879,2017,1489,3379
31879,2018,540,3379
31879,2019,804,3379
31879,2020,334,3379
34145,2017,1597,3297
34145,2018,761,3297
34145,2019,820,3297
34145,2020,119,3297
49960,2019,694,3142
49960,2020,2448,3142
31237,2016,229,3043
31237,2017,1494,3043
31237,2018,88,3043
31237,2019,792,3043
31237,2020,440,3043
37501,2017,1140,2458
37501,2018,1318,2458
29660,2016,2301,2301
35997,2017,1310,2202
35997,2018,330,2202
35997,2020,562,2202
29512,2016,1090,2174
29512,2017,1084,2174
37829,2017,266,2144
37829,2018,1097,2144
37829,2019,626,2144
37829,2020,155,2144
26817,2015,579,2132
26817,2016,1553,2132
46935,2019,1376,2025
46935,2020,649,2025
46988,2019,1105,1949
46988,2020,844,1949
34148,2017,1152,1818
34148,2018,355,1818
34148,2019,311,1818
26490,2016,1332,1784
26490,2017,240,1784
26490,2018,159,1784
26490,2019,53,1784
41879,2018,1727,1727
26428,2015,683,1651
26428,2016,968,1651
40992,2018,1594,1594
32081,2017,1583,1583
29240,2016,1580,1580
34956,2017,566,1431
34956,2018,156,1431
34956,2019,517,1431
34956,2020,192,1431
41678,2017,40,1401
41678,2018,444,1401
41678,2019,917,1401
29191,2016,1280,1280
29192,2016,1254,1254
34945,2017,1253,1253
47191,2019,886,1183
47191,2020,297,1183
40675,2018,929,1083
40675,2019,121,1083
40675,2020,33,1083
33897,2017,1046,1046
29369,2016,883,987
29369,2017,104,987
41865,2018,984,984
46422,2019,469,960
46422,2020,491,960
29105,2016,943,943
40596,2018,494,940
40596,2019,446,940
30408,2016,935,935
34557,2017,658,928
34557,2018,99,928
34557,2019,171,928
30821,2016,327,873
30821,2017,344,873
30821,2018,202,873
37835,2017,55,871
37835,2018,385,871
37835,2019,431,871
30108,2015,40,867
30108,2016,727,867
30108,2018,100,867
46423,2019,210,863
46423,2020,653,863
26398,2016,11,739
26398,2017,5,739
26398,2018,385,739
26398,2019,338,739
34757,2017,175,732
34757,2018,374,732
34757,2019,183,732
41462,2018,499,727
41462,2019,228,727
40982,2018,713,713
43265,2018,517,703
43265,2019,186,703
34571,2017,690,690
29374,2016,687,687
30197,2016,523,679
30197,2017,156,679
40941,2018,659,659
34011,2017,197,655
34011,2018,458,655
42579,2018,654,654
39657,2018,453,627
39657,2019,131,627
39657,2020,43,627
29166,2016,615,615
29262,2016,610,610
31680,2016,600,600
27939,2016,573,573
39629,2018,444,559
39629,2019,99,559
39629,2020,16,559
31482,2017,528,528
46957,2019,272,514
46957,2020,242,514
41586,2018,476,476
46526,2019,475,475
33953,2017,450,450
35762,2017,435,435
35202,2017,430,430
37929,2017,421,421
43769,2018,279,419
43769,2019,140,419
34473,2017,406,406
29492,2016,405,405
34630,2017,405,405
42312,2018,403,403
43627,2018,215,402
43627,2019,187,402
41419,2018,392,392
42015,2018,381,381
30552,2016,374,374
33951,2017,362,362
34929,2017,351,351
41461,2018,340,340
49379,2019,336,336
30617,2016,335,335
30982,2016,153,335
30982,2017,182,335
28849,2017,327,327
29311,2016,327,327
30183,2016,327,327
49389,2019,176,319
49389,2020,143,319
32999,2017,184,315
32999,2018,65,315
32999,2019,66,315
24475,2015,50,308
24475,2016,258,308
41886,2018,186,305
41886,2019,119,305
28839,2016,297,297
29361,2016,291,291
37870,2017,22,286
37870,2018,213,286
37870,2019,51,286
40715,2018,281,281
46948,2019,176,277
46948,2020,101,277
46380,2019,271,271
30555,2016,261,261
42062,2018,258,258
34614,2017,255,255
41460,2018,255,255
35888,2017,251,251
40677,2018,110,240
40677,2019,130,240
37934,2017,71,239
37934,2018,118,239
37934,2019,50,239
41036,2018,233,233
46417,2019,227,227
37458,2017,220,220
49381,2019,220,220
24620,2016,216,216
38177,2017,202,202
29287,2016,197,197
46402,2019,196,196
46947,2019,190,190
30522,2016,180,180
29057,2016,176,176
30691,2016,165,165
30717,2016,163,163
29110,2016,154,154
37310,2017,149,149
35215,2017,146,146
47066,2019,125,146
47066,2020,21,146
46420,2019,141,141
43477,2018,140,140
25739,2015,138,138
36871,2017,138,138
34710,2017,134,134
30656,2016,132,132
25733,2015,131,131
30215,2016,126,126
38064,2017,118,118
40977,2018,117,117
26423,2015,110,110
29083,2016,110,110
38071,2017,110,110
40754,2018,110,110
41877,2018,110,110
26033,2015,109,109
26232,2015,109,109
30176,2016,109,109
40823,2018,109,109
46961,2019,68,108
46961,2020,40,108
30190,2017,105,105
26321,2015,98,98
30566,2016,98,98
47239,2019,98,98
50784,2019,98,98
35882,2017,95,95
46421,2019,89,89
26036,2015,88,88
26058,2015,87,87
37849,2017,87,87
46942,2019,87,87
46944,2019,86,86
43422,2018,85,85
41275,2017,12,84
41275,2018,72,84
47240,2019,79,79
47098,2019,77,77
31726,2016,75,75
40991,2018,75,75
50376,2019,75,75
35519,2017,74,74
25902,2015,73,73
30642,2016,73,73
34525,2017,73,73
41885,2018,73,73
43223,2018,32,72
43223,2019,40,72
46930,2019,71,71
47214,2019,70,70
41459,2018,63,63
46888,2019,60,60
37913,2017,58,58
26422,2015,55,55
30221,2016,55,55
34063,2017,55,55
35226,2017,55,55
35884,2017,47,47
31063,2017,44,44
29021,2016,43,43
49378,2019,42,42
47910,2019,36,36
25732,2015,33,33
25750,2015,33,33
29371,2016,33,33
29378,2016,33,33
30520,2016,33,33
31786,2016,22,33
31786,2017,11,33
31978,2016,33,33
34902,2017,33,33
26416,2015,32,32
29080,2016,32,32
37897,2017,32,32
47070,2019,30,30
37886,2018,22,22
37917,2017,22,22
37924,2017,22,22
41457,2019,22,22
47120,2019,22,22
49359,2019,22,22
47213,2019,20,20
41912,2018,19,19
37918,2017,1,17
37918,2018,16,17
25499,2015,11,11
26426,2015,11,11
28120,2015,11,11
30638,2016,11,11
41474,2018,11,11
50047,2019,11,11
40058,2018,10,10
47084,2019,3,3
