"Scientific_Names","Common_Name","id","indiv_obs#"
"Betula alleghaniensis","yellow birch",85759,2165
"Betula alleghaniensis","yellow birch",85761,1448
"Betula alleghaniensis","yellow birch",85762,1910
"Betula alleghaniensis","yellow birch",85763,1419
"Betula alleghaniensis","yellow birch",85764,2073
"Betula nigra","river birch",86258,1214
"Betula nigra","river birch",86259,2122
"Betula nigra","river birch",86260,2459
"Betula nigra","river birch",86261,1357
"Betula nigra","river birch",87754,1406
"Aesculus flava","yellow buckeye",85757,1261
"Populus deltoides","eastern cottonwood",86278,1023
"Populus deltoides","eastern cottonwood",86279,941
"Populus deltoides","eastern cottonwood",86280,976
"Populus deltoides","eastern cottonwood",86281,1026
"Populus deltoides","eastern cottonwood",86282,968
"Tilia americana","American basswood",86289,1500
"Quercus alba","white oak",87756,866
"Tilia americana","American basswood",87757,1159
"Acer saccharum","sugar maple",92209,1067
"Viburnum nudum","possumhaw",169171,656
"Aesculus flava","yellow buckeye",85751,758
"Aesculus flava","yellow buckeye",85755,675
"Aesculus flava","yellow buckeye",85756,742
"Aesculus flava","yellow buckeye",85758,1317
"Tilia americana","American basswood",86290,1134
"Tilia americana","American basswood",87762,1245
"Tilia americana","American basswood",87763,1030
"Fagus grandifolia","American beech",86273,222
"Fagus grandifolia","American beech",86274,796
"Fagus grandifolia","American beech",86275,703
"Fagus grandifolia","American beech",86276,549
"Fagus grandifolia","American beech",86277,195
"Fagus grandifolia","American beech",135343,230
"Fagus grandifolia","American beech",135911,305
"Carya glabra","pignut hickory",86262,641
"Carya glabra","pignut hickory",86263,817
"Carya glabra","pignut hickory",86264,617
"Carya glabra","pignut hickory",86265,894
"Carya glabra","pignut hickory",86266,1081
"Carya ovata","shagbark hickory",86268,1152
"Carya ovata","shagbark hickory",86269,1100
"Carya ovata","shagbark hickory",86270,1277
"Carya ovata","shagbark hickory",86271,1227
"Carya ovata","shagbark hickory",86272,1401
"Quercus rubra","northern red oak",86285,609
"Quercus rubra","northern red oak",86286,510
"Quercus rubra","northern red oak",86287,444
"Quercus rubra","northern red oak",86288,465
"Quercus alba","white oak",87758,614
"Quercus alba","white oak",87759,375
"Quercus rubra","northern red oak",87760,382
"Quercus alba","white oak",87761,604
"Quercus alba","white oak",88311,383
"Acer saccharum","sugar maple",92203,737
"Acer saccharum","sugar maple",92204,1522
"Acer saccharum","sugar maple",92206,684
"Acer saccharum","sugar maple",92208,633
"Acer rubrum","red maple",166763,552
"Acer rubrum","red maple",166764,405
"Acer rubrum","red maple",166765,466
"Acer rubrum","red maple",166766,278
"Acer rubrum","red maple",166767,319
"Vaccinium corymbosum","highbush blueberry",166768,492
"Vaccinium corymbosum","highbush blueberry",166769,398
"Vaccinium corymbosum","highbush blueberry",166773,279
"Vaccinium corymbosum","highbush blueberry",166774,283
"Vaccinium corymbosum","highbush blueberry",166775,542
"Hamamelis virginiana","American witchhazel",166776,539
"Hamamelis virginiana","American witchhazel",166777,558
"Hamamelis virginiana","American witchhazel",166778,529
"Hamamelis virginiana","American witchhazel",166779,576
"Hamamelis virginiana","American witchhazel",166780,574
"Viburnum nudum","possumhaw",169165,776
"Viburnum nudum","possumhaw",169166,760
"Viburnum nudum","possumhaw",169167,743
"Viburnum nudum","possumhaw",169168,808
