"Scientific_Names","Common_Name","Individual_ID","indiv_obs#"
"Aesculus flava","yellow buckeye",85751,140
"Aesculus flava","yellow buckeye",85755,126
"Aesculus flava","yellow buckeye",85756,121
"Aesculus flava","yellow buckeye",85757,250
"Aesculus flava","yellow buckeye",85758,192
"Betula alleghaniensis","yellow birch",85759,520
"Betula alleghaniensis","yellow birch",85761,342
"Betula alleghaniensis","yellow birch",85762,434
"Betula alleghaniensis","yellow birch",85763,390
"Betula alleghaniensis","yellow birch",85764,495
"Betula nigra","river birch",86258,311
"Betula nigra","river birch",86259,490
"Betula nigra","river birch",86260,467
"Betula nigra","river birch",86261,334
"Carya glabra","pignut hickory",86262,169
"Carya glabra","pignut hickory",86263,203
"Carya glabra","pignut hickory",86264,161
"Carya glabra","pignut hickory",86265,206
"Carya glabra","pignut hickory",86266,216
"Carya ovata","shagbark hickory",86268,238
"Carya ovata","shagbark hickory",86269,233
"Carya ovata","shagbark hickory",86270,283
"Carya ovata","shagbark hickory",86271,250
"Carya ovata","shagbark hickory",86272,276
"Fagus grandifolia","American beech",86273,43
"Fagus grandifolia","American beech",86274,156
"Fagus grandifolia","American beech",86275,112
"Fagus grandifolia","American beech",86276,107
"Fagus grandifolia","American beech",86277,33
"Populus deltoides","eastern cottonwood",86278,253
"Populus deltoides","eastern cottonwood",86279,211
"Populus deltoides","eastern cottonwood",86280,223
"Populus deltoides","eastern cottonwood",86281,240
"Populus deltoides","eastern cottonwood",86282,207
"Quercus rubra","northern red oak",86285,121
"Quercus rubra","northern red oak",86286,107
"Quercus rubra","northern red oak",86287,82
"Quercus rubra","northern red oak",86288,106
"Tilia americana","American basswood",86289,301
"Tilia americana","American basswood",86290,229
"Betula nigra","river birch",87754,326
"Quercus alba","white oak",87756,197
"Tilia americana","American basswood",87757,254
"Quercus alba","white oak",87758,99
"Quercus alba","white oak",87759,77
"Quercus rubra","northern red oak",87760,72
"Quercus alba","white oak",87761,92
"Tilia americana","American basswood",87762,224
"Tilia americana","American basswood",87763,225
"Quercus alba","white oak",88311,78
"Acer saccharum","sugar maple",92203,128
"Acer saccharum","sugar maple",92204,330
"Acer saccharum","sugar maple",92206,166
"Acer saccharum","sugar maple",92208,178
"Acer saccharum","sugar maple",92209,212
"Fagus grandifolia","American beech",135343,43
"Fagus grandifolia","American beech",135911,76
"Viburnum nudum","possumhaw",169166,115
"Viburnum nudum","possumhaw",169168,116
"Acer rubrum","red maple",166763,110
"Acer rubrum","red maple",166764,92
"Acer rubrum","red maple",166765,93
"Acer rubrum","red maple",166766,69
"Acer rubrum","red maple",166767,91
"Vaccinium corymbosum","highbush blueberry",166768,110
"Vaccinium corymbosum","highbush blueberry",166769,89
"Vaccinium corymbosum","highbush blueberry",166773,62
"Vaccinium corymbosum","highbush blueberry",166774,66
"Vaccinium corymbosum","highbush blueberry",166775,116
"Hamamelis virginiana","American witchhazel",166776,125
"Hamamelis virginiana","American witchhazel",166777,125
"Hamamelis virginiana","American witchhazel",166778,114
"Hamamelis virginiana","American witchhazel",166779,117
"Hamamelis virginiana","American witchhazel",166780,118
"Viburnum nudum","possumhaw",169165,112
"Viburnum nudum","possumhaw",169167,115
"Viburnum nudum","possumhaw",169171,138
