"Phenophase_Description","Individual_ID","pheno_indiv_obs#","Common_Name","Scientific_Names"
"budburst",85751,15,"yellow buckeye","Aesculus flava"
"budburst",85755,15,"yellow buckeye","Aesculus flava"
"budburst",85756,12,"yellow buckeye","Aesculus flava"
"budburst",85757,19,"yellow buckeye","Aesculus flava"
"budburst",85758,20,"yellow buckeye","Aesculus flava"
"budburst",85759,52,"yellow birch","Betula alleghaniensis"
"budburst",85761,28,"yellow birch","Betula alleghaniensis"
"budburst",85762,41,"yellow birch","Betula alleghaniensis"
"budburst",85763,35,"yellow birch","Betula alleghaniensis"
"budburst",85764,51,"yellow birch","Betula alleghaniensis"
"budburst",86258,36,"river birch","Betula nigra"
"budburst",86259,84,"river birch","Betula nigra"
"budburst",86260,68,"river birch","Betula nigra"
"budburst",86261,33,"river birch","Betula nigra"
"budburst",86262,18,"pignut hickory","Carya glabra"
"budburst",86263,19,"pignut hickory","Carya glabra"
"budburst",86264,17,"pignut hickory","Carya glabra"
"budburst",86265,28,"pignut hickory","Carya glabra"
"budburst",86266,25,"pignut hickory","Carya glabra"
"budburst",86268,23,"shagbark hickory","Carya ovata"
"budburst",86269,22,"shagbark hickory","Carya ovata"
"budburst",86270,31,"shagbark hickory","Carya ovata"
"budburst",86271,29,"shagbark hickory","Carya ovata"
"budburst",86272,34,"shagbark hickory","Carya ovata"
"budburst",86273,3,"American beech","Fagus grandifolia"
"budburst",86274,11,"American beech","Fagus grandifolia"
"budburst",86275,16,"American beech","Fagus grandifolia"
"budburst",86276,10,"American beech","Fagus grandifolia"
"budburst",86277,6,"American beech","Fagus grandifolia"
"budburst",86278,29,"eastern cottonwood","Populus deltoides"
"budburst",86279,26,"eastern cottonwood","Populus deltoides"
"budburst",86280,25,"eastern cottonwood","Populus deltoides"
"budburst",86281,25,"eastern cottonwood","Populus deltoides"
"budburst",86282,36,"eastern cottonwood","Populus deltoides"
"budburst",86285,10,"northern red oak","Quercus rubra"
"budburst",86286,7,"northern red oak","Quercus rubra"
"budburst",86287,8,"northern red oak","Quercus rubra"
"budburst",86288,7,"northern red oak","Quercus rubra"
"budburst",86289,41,"American basswood","Tilia americana"
"budburst",86290,15,"American basswood","Tilia americana"
"budburst",87754,42,"river birch","Betula nigra"
"budburst",87756,18,"white oak","Quercus alba"
"budburst",87757,27,"American basswood","Tilia americana"
"budburst",87758,8,"white oak","Quercus alba"
"budburst",87759,6,"white oak","Quercus alba"
"budburst",87760,6,"northern red oak","Quercus rubra"
"budburst",87761,10,"white oak","Quercus alba"
"budburst",87762,17,"American basswood","Tilia americana"
"budburst",87763,18,"American basswood","Tilia americana"
"budburst",88311,8,"white oak","Quercus alba"
"budburst",92203,22,"sugar maple","Acer saccharum"
"budburst",92204,23,"sugar maple","Acer saccharum"
"budburst",92206,20,"sugar maple","Acer saccharum"
"budburst",92208,16,"sugar maple","Acer saccharum"
"budburst",92209,22,"sugar maple","Acer saccharum"
"budburst",135343,3,"American beech","Fagus grandifolia"
"budburst",135911,5,"American beech","Fagus grandifolia"
"budburst",166763,13,"red maple","Acer rubrum"
"budburst",166764,17,"red maple","Acer rubrum"
"budburst",166765,17,"red maple","Acer rubrum"
"budburst",166766,8,"red maple","Acer rubrum"
"budburst",166767,11,"red maple","Acer rubrum"
"budburst",166768,14,"highbush blueberry","Vaccinium corymbosum"
"budburst",166769,9,"highbush blueberry","Vaccinium corymbosum"
"budburst",166773,8,"highbush blueberry","Vaccinium corymbosum"
"budburst",166774,9,"highbush blueberry","Vaccinium corymbosum"
"budburst",166775,15,"highbush blueberry","Vaccinium corymbosum"
"budburst",166776,16,"American witchhazel","Hamamelis virginiana"
"budburst",166777,17,"American witchhazel","Hamamelis virginiana"
"budburst",166778,15,"American witchhazel","Hamamelis virginiana"
"budburst",166779,13,"American witchhazel","Hamamelis virginiana"
"budburst",166780,15,"American witchhazel","Hamamelis virginiana"
"budburst",169165,20,"possumhaw","Viburnum nudum"
"budburst",169166,23,"possumhaw","Viburnum nudum"
"budburst",169167,20,"possumhaw","Viburnum nudum"
"budburst",169168,19,"possumhaw","Viburnum nudum"
"budburst",169171,20,"possumhaw","Viburnum nudum"
"Colored leaves",85751,15,"yellow buckeye","Aesculus flava"
"Colored leaves",85755,20,"yellow buckeye","Aesculus flava"
"Colored leaves",85756,13,"yellow buckeye","Aesculus flava"
"Colored leaves",85757,25,"yellow buckeye","Aesculus flava"
"Colored leaves",85758,25,"yellow buckeye","Aesculus flava"
"Colored leaves",85759,30,"yellow birch","Betula alleghaniensis"
"Colored leaves",85761,20,"yellow birch","Betula alleghaniensis"
"Colored leaves",85762,22,"yellow birch","Betula alleghaniensis"
"Colored leaves",85763,22,"yellow birch","Betula alleghaniensis"
"Colored leaves",85764,50,"yellow birch","Betula alleghaniensis"
"Colored leaves",86258,32,"river birch","Betula nigra"
"Colored leaves",86259,61,"river birch","Betula nigra"
"Colored leaves",86260,48,"river birch","Betula nigra"
"Colored leaves",86261,29,"river birch","Betula nigra"
"Colored leaves",86262,12,"pignut hickory","Carya glabra"
"Colored leaves",86263,10,"pignut hickory","Carya glabra"
"Colored leaves",86264,10,"pignut hickory","Carya glabra"
"Colored leaves",86265,10,"pignut hickory","Carya glabra"
"Colored leaves",86266,16,"pignut hickory","Carya glabra"
"Colored leaves",86268,17,"shagbark hickory","Carya ovata"
"Colored leaves",86269,15,"shagbark hickory","Carya ovata"
"Colored leaves",86270,18,"shagbark hickory","Carya ovata"
"Colored leaves",86271,21,"shagbark hickory","Carya ovata"
"Colored leaves",86272,16,"shagbark hickory","Carya ovata"
"Colored leaves",86273,2,"American beech","Fagus grandifolia"
"Colored leaves",86274,10,"American beech","Fagus grandifolia"
"Colored leaves",86275,13,"American beech","Fagus grandifolia"
"Colored leaves",86276,13,"American beech","Fagus grandifolia"
"Colored leaves",86277,4,"American beech","Fagus grandifolia"
"Colored leaves",86278,20,"eastern cottonwood","Populus deltoides"
"Colored leaves",86279,15,"eastern cottonwood","Populus deltoides"
"Colored leaves",86280,20,"eastern cottonwood","Populus deltoides"
"Colored leaves",86281,21,"eastern cottonwood","Populus deltoides"
"Colored leaves",86282,17,"eastern cottonwood","Populus deltoides"
"Colored leaves",86285,14,"northern red oak","Quercus rubra"
"Colored leaves",86286,11,"northern red oak","Quercus rubra"
"Colored leaves",86287,8,"northern red oak","Quercus rubra"
"Colored leaves",86288,16,"northern red oak","Quercus rubra"
"Colored leaves",86289,23,"American basswood","Tilia americana"
"Colored leaves",86290,19,"American basswood","Tilia americana"
"Colored leaves",87754,35,"river birch","Betula nigra"
"Colored leaves",87756,23,"white oak","Quercus alba"
"Colored leaves",87757,19,"American basswood","Tilia americana"
"Colored leaves",87758,7,"white oak","Quercus alba"
"Colored leaves",87759,11,"white oak","Quercus alba"
"Colored leaves",87760,8,"northern red oak","Quercus rubra"
"Colored leaves",87761,9,"white oak","Quercus alba"
"Colored leaves",87762,17,"American basswood","Tilia americana"
"Colored leaves",87763,16,"American basswood","Tilia americana"
"Colored leaves",88311,7,"white oak","Quercus alba"
"Colored leaves",92203,14,"sugar maple","Acer saccharum"
"Colored leaves",92204,24,"sugar maple","Acer saccharum"
"Colored leaves",92206,15,"sugar maple","Acer saccharum"
"Colored leaves",92208,14,"sugar maple","Acer saccharum"
"Colored leaves",92209,24,"sugar maple","Acer saccharum"
"Colored leaves",135343,5,"American beech","Fagus grandifolia"
"Colored leaves",135911,10,"American beech","Fagus grandifolia"
