"Phenophase_Description","Scientific_Names","pheno_spp_obs#"
"Breaking leaf buds","Acer rubrum",18
"Breaking leaf buds","Acer saccharum",27
"Breaking leaf buds","Aesculus flava",24
"Breaking leaf buds","Betula alleghaniensis",46
"Breaking leaf buds","Betula nigra",65
"Breaking leaf buds","Carya glabra",29
"Breaking leaf buds","Carya ovata",34
"Breaking leaf buds","Fagus grandifolia",16
"Breaking leaf buds","Hamamelis virginiana",17
"Breaking leaf buds","Populus deltoides",24
"Breaking leaf buds","Quercus alba",18
"Breaking leaf buds","Quercus rubra",21
"Breaking leaf buds","Tilia americana",40
"Breaking leaf buds","Vaccinium corymbosum",18
"Breaking leaf buds","Viburnum nudum",22
"Colored leaves","Acer rubrum",15
"Colored leaves","Acer saccharum",36
"Colored leaves","Aesculus flava",36
"Colored leaves","Betula alleghaniensis",44
"Colored leaves","Betula nigra",62
"Colored leaves","Carya glabra",30
"Colored leaves","Carya ovata",30
"Colored leaves","Fagus grandifolia",18
"Colored leaves","Hamamelis virginiana",16
"Colored leaves","Populus deltoides",39
"Colored leaves","Quercus alba",21
"Colored leaves","Quercus rubra",22
"Colored leaves","Tilia americana",42
"Colored leaves","Vaccinium corymbosum",9
"Colored leaves","Viburnum nudum",20
"Falling leaves","Acer rubrum",19
"Falling leaves","Acer saccharum",33
"Falling leaves","Aesculus flava",29
"Falling leaves","Betula alleghaniensis",48
"Falling leaves","Betula nigra",72
"Falling leaves","Carya glabra",20
"Falling leaves","Carya ovata",33
"Falling leaves","Fagus grandifolia",15
"Falling leaves","Hamamelis virginiana",10
"Falling leaves","Populus deltoides",29
"Falling leaves","Quercus alba",20
"Falling leaves","Quercus rubra",21
"Falling leaves","Tilia americana",42
"Falling leaves","Vaccinium corymbosum",12
"Falling leaves","Viburnum nudum",25
"Flowers or flower buds","Acer rubrum",13
"Flowers or flower buds","Acer saccharum",18
"Flowers or flower buds","Aesculus flava",33
"Flowers or flower buds","Betula alleghaniensis",79
"Flowers or flower buds","Betula nigra",58
"Flowers or flower buds","Carya glabra",28
"Flowers or flower buds","Carya ovata",38
"Flowers or flower buds","Fagus grandifolia",13
"Flowers or flower buds","Hamamelis virginiana",16
"Flowers or flower buds","Populus deltoides",21
"Flowers or flower buds","Quercus alba",14
"Flowers or flower buds","Quercus rubra",14
"Flowers or flower buds","Tilia americana",38
"Flowers or flower buds","Vaccinium corymbosum",23
"Flowers or flower buds","Viburnum nudum",30
"Fruits","Acer rubrum",8
"Fruits","Acer saccharum",34
"Fruits","Aesculus flava",30
"Fruits","Betula alleghaniensis",114
"Fruits","Betula nigra",33
"Fruits","Carya glabra",42
"Fruits","Carya ovata",59
"Fruits","Fagus grandifolia",30
"Fruits","Hamamelis virginiana",26
"Fruits","Populus deltoides",30
"Fruits","Quercus alba",8
"Fruits","Quercus rubra",15
