"Phenophase_Description","Scientific_Names","pheno_spp_obs#"
"budburst","Acer rubrum",66
"budburst","Acer saccharum",103
"budburst","Aesculus flava",81
"budburst","Betula alleghaniensis",207
"budburst","Betula nigra",263
"budburst","Carya glabra",107
"budburst","Carya ovata",139
"budburst","Fagus grandifolia",54
"budburst","Hamamelis virginiana",76
"budburst","Populus deltoides",141
"budburst","Quercus alba",50
"budburst","Quercus rubra",38
"budburst","Tilia americana",118
"budburst","Vaccinium corymbosum",55
"budburst","Viburnum nudum",102
"Colored leaves","Acer rubrum",44
"Colored leaves","Acer saccharum",91
"Colored leaves","Aesculus flava",98
"Colored leaves","Betula alleghaniensis",144
"Colored leaves","Betula nigra",205
"Colored leaves","Carya glabra",58
"Colored leaves","Carya ovata",87
"Colored leaves","Fagus grandifolia",57
"Colored leaves","Hamamelis virginiana",39
"Colored leaves","Populus deltoides",93
"Colored leaves","Quercus alba",57
"Colored leaves","Quercus rubra",57
"Colored leaves","Tilia americana",94
"Colored leaves","Vaccinium corymbosum",31
"Colored leaves","Viburnum nudum",37
"flowers","Acer rubrum",52
"flowers","Acer saccharum",91
"flowers","Aesculus flava",69
"flowers","Betula alleghaniensis",319
"flowers","Betula nigra",304
"flowers","Carya glabra",78
"flowers","Carya ovata",91
"flowers","Fagus grandifolia",48
"flowers","Hamamelis virginiana",98
"flowers","Populus deltoides",147
"flowers","Quercus alba",41
"flowers","Quercus rubra",43
"flowers","Tilia americana",103
"flowers","Vaccinium corymbosum",73
"flowers","Viburnum nudum",100
"Fruits","Acer rubrum",25
"Fruits","Acer saccharum",95
"Fruits","Aesculus flava",97
"Fruits","Betula alleghaniensis",351
"Fruits","Betula nigra",193
"Fruits","Carya glabra",97
"Fruits","Carya ovata",161
"Fruits","Fagus grandifolia",104
"Fruits","Hamamelis virginiana",76
"Fruits","Populus deltoides",105
"Fruits","Quercus alba",59
"Fruits","Quercus rubra",67
"Fruits","Tilia americana",194
"Fruits","Vaccinium corymbosum",44
"Fruits","Viburnum nudum",54
"Increasing leaf size","Acer rubrum",56
"Increasing leaf size","Acer saccharum",159
"Increasing leaf size","Aesculus flava",112
"Increasing leaf size","Betula alleghaniensis",189
"Increasing leaf size","Betula nigra",178
"Increasing leaf size","Carya glabra",158
"Increasing leaf size","Carya ovata",175
"Increasing leaf size","Fagus grandifolia",91
"Increasing leaf size","Hamamelis virginiana",97
"Increasing leaf size","Populus deltoides",188
"Increasing leaf size","Quercus alba",79
"Increasing leaf size","Quercus rubra",34
"Increasing leaf size","Tilia americana",130
"Increasing leaf size","Vaccinium corymbosum",67
"Increasing leaf size","Viburnum nudum",80
"leaf drop","Acer rubrum",55
"leaf drop","Acer saccharum",91
"leaf drop","Aesculus flava",93
"leaf drop","Betula alleghaniensis",174
"leaf drop","Betula nigra",237
"leaf drop","Carya glabra",93
"leaf drop","Carya ovata",110
"leaf drop","Fagus grandifolia",38
"leaf drop","Hamamelis virginiana",40
"leaf drop","Populus deltoides",100
"leaf drop","Quercus alba",59
"leaf drop","Quercus rubra",42
"leaf drop","Tilia americana",109
"leaf drop","Vaccinium corymbosum",28
"leaf drop","Viburnum nudum",43
"leafout","Acer rubrum",57
"leafout","Acer saccharum",99
"leafout","Aesculus flava",70
"leafout","Betula alleghaniensis",91
"leafout","Betula nigra",113
"leafout","Carya glabra",57
"leafout","Carya ovata",51
"leafout","Fagus grandifolia",40
"leafout","Hamamelis virginiana",39
"leafout","Populus deltoides",104
"leafout","Quercus alba",65
"leafout","Quercus rubra",44
"leafout","Tilia americana",79
"leafout","Vaccinium corymbosum",53
"leafout","Viburnum nudum",42
"Open flowers","Acer rubrum",42
"Open flowers","Acer saccharum",63
"Open flowers","Aesculus flava",63
"Open flowers","Betula alleghaniensis",170
"Open flowers","Betula nigra",151
"Open flowers","Carya glabra",77
"Open flowers","Carya ovata",104
"Open flowers","Fagus grandifolia",37
"Open flowers","Hamamelis virginiana",34
"Open flowers","Populus deltoides",84
"Open flowers","Quercus alba",30
"Open flowers","Quercus rubra",37
"Open flowers","Tilia americana",58
"Open flowers","Vaccinium corymbosum",39
"Open flowers","Viburnum nudum",36
"Pollen release (flowers)","Acer rubrum",30
"Pollen release (flowers)","Acer saccharum",51
"Pollen release (flowers)","Betula alleghaniensis",113
"Pollen release (flowers)","Betula nigra",112
"Pollen release (flowers)","Carya glabra",41
"Pollen release (flowers)","Carya ovata",71
"Pollen release (flowers)","Populus deltoides",62
"Pollen release (flowers)","Quercus alba",19
"Pollen release (flowers)","Quercus rubra",29
"Pollen release (flowers)","Tilia americana",31
"Recent fruit or seed drop","Acer rubrum",11
"Recent fruit or seed drop","Acer saccharum",99
"Recent fruit or seed drop","Aesculus flava",76
"Recent fruit or seed drop","Betula alleghaniensis",174
"Recent fruit or seed drop","Betula nigra",91
"Recent fruit or seed drop","Carya glabra",106
"Recent fruit or seed drop","Carya ovata",150
"Recent fruit or seed drop","Fagus grandifolia",45
"Recent fruit or seed drop","Hamamelis virginiana",46
"Recent fruit or seed drop","Populus deltoides",61
"Recent fruit or seed drop","Quercus alba",52
"Recent fruit or seed drop","Quercus rubra",56
"Recent fruit or seed drop","Tilia americana",143
"Recent fruit or seed drop","Vaccinium corymbosum",14
"Recent fruit or seed drop","Viburnum nudum",52
"Ripe fruits","Acer rubrum",17
"Ripe fruits","Acer saccharum",72
"Ripe fruits","Aesculus flava",70
"Ripe fruits","Betula alleghaniensis",249
"Ripe fruits","Betula nigra",81
"Ripe fruits","Carya glabra",83
"Ripe fruits","Carya ovata",141
"Ripe fruits","Fagus grandifolia",56
"Ripe fruits","Hamamelis virginiana",54
"Ripe fruits","Populus deltoides",49
"Ripe fruits","Quercus alba",32
"Ripe fruits","Quercus rubra",41
"Ripe fruits","Tilia americana",174
"Ripe fruits","Vaccinium corymbosum",39
"Ripe fruits","Viburnum nudum",50
