"Scientific_Names","Common_Name","spp_obs#"
"Aesculus flava","yellow buckeye",297
"Betula alleghaniensis","yellow birch",598
"Betula nigra","river birch",510
"Carya glabra","pignut hickory",286
"Carya ovata","shagbark hickory",354
"Populus deltoides","eastern cottonwood",266
"Tilia americana","American basswood",379
"Acer saccharum","sugar maple",288
"Fagus grandifolia","American beech",165
"Quercus rubra","northern red oak",160
"Quercus alba","white oak",159
"Acer rubrum","red maple",146
"Vaccinium corymbosum","highbush blueberry",148
"Hamamelis virginiana","American witchhazel",174
"Viburnum nudum","possumhaw",226
