"Scientific_Names","Common_Name","spp_obs#"
"Betula alleghaniensis","yellow birch",9015
"Betula nigra","river birch",8558
"Aesculus flava","yellow buckeye",4753
"Populus deltoides","eastern cottonwood",4934
"Tilia americana","American basswood",6068
"Quercus alba","white oak",2842
"Acer saccharum","sugar maple",4643
"Viburnum nudum","possumhaw",3743
"Fagus grandifolia","American beech",3000
"Carya glabra","pignut hickory",4050
"Carya ovata","shagbark hickory",6157
"Quercus rubra","northern red oak",2410
"Acer rubrum","red maple",2020
"Vaccinium corymbosum","highbush blueberry",1994
"Hamamelis virginiana","American witchhazel",2776
