"Scientific_Names","Common_Name","spp_obs#"
"Aesculus flava","yellow buckeye",829
"Betula alleghaniensis","yellow birch",2181
"Betula nigra","river birch",1928
"Carya glabra","pignut hickory",955
"Carya ovata","shagbark hickory",1280
"Fagus grandifolia","American beech",570
"Populus deltoides","eastern cottonwood",1134
"Quercus rubra","northern red oak",488
"Tilia americana","American basswood",1233
"Quercus alba","white oak",543
"Acer saccharum","sugar maple",1014
"Viburnum nudum","possumhaw",596
"Acer rubrum","red maple",455
"Vaccinium corymbosum","highbush blueberry",443
"Hamamelis virginiana","American witchhazel",599
