"Species_ID","Genus","Species","Common_Name","Individual_ID","Phenophase_ID","Phenophase_Description","First_Yes_DOY","Scientific_Names","indiv_obs#","spp_obs#","pheno_obs#","Plant_Nickname","Plant_ID","Species_Nickname","Latitude","Longitude","DBH(cm)","Route_Name"
1172,"Aesculus","flava","yellow buckeye",85751,483,"Leaves",165,"Aesculus flava",59,297,592,"12651*C, Tree 7","12651*C","Tree 7",42.30355576,-71.1212595,35.3,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85755,483,"Leaves",165,"Aesculus flava",48,297,592,"12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85755,498,"Colored leaves",255,"Aesculus flava",48,297,440,"12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85756,390,"Ripe fruits",255,"Aesculus flava",38,297,274,"12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85756,471,"Falling leaves",255,"Aesculus flava",38,297,428,"12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85756,483,"Leaves",165,"Aesculus flava",38,297,592,"12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85756,498,"Colored leaves",255,"Aesculus flava",38,297,440,"12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85758,390,"Ripe fruits",255,"Aesculus flava",77,297,274,"925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85758,498,"Colored leaves",218,"Aesculus flava",77,297,440,"925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route"
1172,"Aesculus","flava","yellow buckeye",85758,504,"Recent fruit or seed drop",255,"Aesculus flava",77,297,271,"925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route"
97,"Betula","alleghaniensis","yellow birch",85759,390,"Ripe fruits",240,"Betula alleghaniensis",149,598,274,"12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route"
97,"Betula","alleghaniensis","yellow birch",85759,390,"Ripe fruits",339,"Betula alleghaniensis",149,598,274,"12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route"
97,"Betula","alleghaniensis","yellow birch",85759,471,"Falling leaves",278,"Betula alleghaniensis",149,598,428,"12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route"
97,"Betula","alleghaniensis","yellow birch",85759,498,"Colored leaves",250,"Betula alleghaniensis",149,598,440,"12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route"
97,"Betula","alleghaniensis","yellow birch",85759,498,"Colored leaves",278,"Betula alleghaniensis",149,598,440,"12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route"
97,"Betula","alleghaniensis","yellow birch",85759,500,"Flowers or flower buds",150,"Betula alleghaniensis",149,598,436,"12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route"
