"Genus","Species","Scientific_Names","Common_Name","Individual_ID","Phenophase_Description","ObservedBy_Person_ID","Plant_Nickname","Plant_ID","Species_Nickname","Latitude","Longitude","DBH(cm)","Route_Name","indiv_obs#","spp_obs#","pheno_obs#","pheno_spp_obs#","pheno_indiv_obs#"
"Aesculus","flava","Aesculus flava","yellow buckeye",85751,"leafout","'19414,25865,25902'","12651*C, Tree 7","12651*C","Tree 7",42.30355576,-71.1212595,35.3,"Linden North Woods Route",140,829,1004,70,14
"Aesculus","flava","Aesculus flava","yellow buckeye",85751,"Colored leaves","'19414'","12651*C, Tree 7","12651*C","Tree 7",42.30355576,-71.1212595,35.3,"Linden North Woods Route",140,829,1192,98,15
"Aesculus","flava","Aesculus flava","yellow buckeye",85751,"Fruits","'19414'","12651*C, Tree 7","12651*C","Tree 7",42.30355576,-71.1212595,35.3,"Linden North Woods Route",140,829,1722,97,22
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Ripe fruits","'26428'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1208,70,9
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Ripe fruits","'19414'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1208,70,9
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"leaf drop","'19414,26428'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1312,93,16
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"leaf drop","'26428'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1312,93,16
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"leafout","'19414,25865,25902,26428,26033'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1004,70,10
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Colored leaves","'19414'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1192,98,20
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Colored leaves","'26428,19414'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1192,98,20
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Recent fruit or seed drop","'26428,19414'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1176,76,8
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Fruits","'26428'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1722,97,15
"Aesculus","flava","Aesculus flava","yellow buckeye",85755,"Fruits","'19414'","12651*D, Tree 6","12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829,1722,97,15
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Ripe fruits","'26428,19414'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1208,70,9
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"leaf drop","'26428'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1312,93,17
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"leaf drop","'26428,19414'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1312,93,17
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"leaf drop","'26428'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1312,93,17
