"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","interquartile_range"
"American basswood",2015,"budburst",87762,137,137,2,137,137,0
"American basswood",2015,"budburst",87763,137,137,2,137,137,0
"American basswood",2015,"flowers",86289,154,154,2,154,154,0
"American basswood",2015,"flowers",86290,137,137,2,137,137,0
"American basswood",2015,"flowers",87762,137,137,2,137,137,0
"American basswood",2015,"Fruits",86289,248.5,248.5,4,248,249,1
"American basswood",2015,"Increasing leaf size",86290,137,137,2,137,137,0
"American basswood",2015,"Increasing leaf size",87762,137,137,2,137,137,0
"American basswood",2015,"leafout",86289,217,248,6,154,249,71.25
"American basswood",2015,"leafout",86290,137,137,2,137,137,0
"American basswood",2015,"leafout",87757,201.5,201.5,4,154,249,95
"American basswood",2015,"leafout",87762,137,137,2,137,137,0
"American basswood",2015,"leafout",87763,137,137,2,137,137,0
"American basswood",2015,"Ripe fruits",86289,249,249,2,249,249,0
"American basswood",2016,"budburst",86289,127.466666666667,119,15,110,166,23
"American basswood",2016,"budburst",86290,117.285714285714,119,7,115,119,4
"American basswood",2016,"budburst",87757,129,119,6,114,154,30
"American basswood",2016,"budburst",87762,115.571428571429,115,7,111,119,6
"American basswood",2016,"budburst",87763,117.285714285714,119,7,115,119,4
"American basswood",2016,"Colored leaves",86289,150.4,152,5,148,152,4
"American basswood",2016,"Colored leaves",86290,313.5,313.5,4,304,323,19
"American basswood",2016,"Colored leaves",87757,206.909090909091,159,11,148,312,139
"American basswood",2016,"Colored leaves",87762,304,304,2,304,304,0
"American basswood",2016,"flowers",86289,169.333333333333,166,6,154,188,25.5
"American basswood",2016,"flowers",86290,153.333333333333,148,6,145,167,16.5
"American basswood",2016,"flowers",87757,159,159,2,159,159,0
"American basswood",2016,"flowers",87762,167,167,2,167,167,0
"American basswood",2016,"flowers",87763,160.5,160.5,6,154,167,13
"American basswood",2016,"Fruits",87762,304,304,2,304,304,0
"American basswood",2016,"Fruits",87763,304,304,2,304,304,0
"American basswood",2016,"Increasing leaf size",86289,156.533333333333,152,15,119,201,29
"American basswood",2016,"Increasing leaf size",86290,134.6,142,10,119,148,26
"American basswood",2016,"Increasing leaf size",87757,161.866666666667,154,15,136,201,23.5
"American basswood",2016,"Increasing leaf size",87762,133.857142857143,142,7,119,148,26
"American basswood",2016,"Increasing leaf size",87763,128.666666666667,119,6,119,148,21.75
"American basswood",2016,"leaf drop",86290,304,304,2,304,304,0
"American basswood",2016,"leaf drop",87757,302.333333333333,304,6,291,312,15.75
"American basswood",2016,"leafout",86289,156,152,25,118,229,30
"American basswood",2016,"leafout",86290,181.142857142857,148,14,119,304,115.75
"American basswood",2016,"leafout",87757,189.44,159,25,136,312,49
"American basswood",2016,"leafout",87762,193.363636363636,167,11,119,304,132.5
"American basswood",2016,"leafout",87763,138.666666666667,148,15,115,167,35
"American basswood",2016,"Ripe fruits",87762,304,304,2,304,304,0
"American basswood",2016,"Ripe fruits",87763,304,304,2,304,304,0
"American basswood",2017,"budburst",86289,100.225806451613,105,31,58,117,18
"American basswood",2017,"budburst",86290,113.333333333333,113,6,113,114,0.75
"American basswood",2017,"budburst",87757,107.727272727273,110,11,105,110,5
"American basswood",2017,"budburst",87762,112.62962962963,113,27,101,120,7
"American basswood",2017,"budburst",87763,111.2,113,10,107,113,3
"American basswood",2017,"Colored leaves",86289,312.888888888889,316,9,302,323,7
"American basswood",2017,"Colored leaves",87757,290.454545454545,295,11,270,309,28
"American basswood",2017,"Colored leaves",87763,276.5,276.5,4,252,301,49
"American basswood",2017,"flowers",86289,141.230769230769,141,13,114,173,8
"American basswood",2017,"flowers",86290,127,127,3,127,127,0
"American basswood",2017,"flowers",87757,153.857142857143,143,7,141,183,21
"American basswood",2017,"flowers",87762,143.666666666667,136,9,127,176,17
"American basswood",2017,"flowers",87763,127,127,3,127,127,0
"American basswood",2017,"Fruits",86289,234.791666666667,241.5,48,139,316,90
"American basswood",2017,"Fruits",86290,234,234,2,234,234,0
"American basswood",2017,"Fruits",87757,223.823529411765,236,34,139,295,75
"American basswood",2017,"Fruits",87762,224.5,224.5,4,221,228,7
"American basswood",2017,"Fruits",87763,234,234,2,234,234,0
"American basswood",2017,"Increasing leaf size",86289,130.676470588235,119,34,109,191,28
"American basswood",2017,"Increasing leaf size",86290,127,127,3,127,127,0
"American basswood",2017,"Increasing leaf size",87757,142.65,138,20,117,191,34
"American basswood",2017,"Increasing leaf size",87762,117.526315789474,117,19,113,127,6.5
"American basswood",2017,"Increasing leaf size",87763,118.1875,118,16,113,127,7
"American basswood",2017,"leaf drop",86289,317.166666666667,316,12,302,330,15.75
"American basswood",2017,"leaf drop",87757,294.111111111111,295,9,270,309,7
"American basswood",2017,"leaf drop",87763,276.5,276.5,4,252,301,49
"American basswood",2017,"leafout",86289,193.369047619048,183,84,109,316,128
"American basswood",2017,"leafout",86290,161.307692307692,127,13,113,234,115
"American basswood",2017,"leafout",87757,202.283333333333,191,60,117,309,117
"American basswood",2017,"leafout",87762,136.621621621622,119,37,110,228,31
"American basswood",2017,"leafout",87763,158.766666666667,123.5,30,110,301,99.5
"American basswood",2017,"Open flowers",86289,191,191,3,191,191,0
"American basswood",2017,"Open flowers",86290,127,127,3,127,127,0
"American basswood",2017,"Open flowers",87757,183,183,2,183,183,0
"American basswood",2017,"Open flowers",87762,176,176,2,176,176,0
"American basswood",2017,"Recent fruit or seed drop",86289,264.3,272,30,190,316,46.25
"American basswood",2017,"Recent fruit or seed drop",87757,266.3125,267,16,236,295,20
"American basswood",2017,"Ripe fruits",86289,268.814814814815,274,27,190,316,38
"American basswood",2017,"Ripe fruits",87757,256.75,260,20,190,295,24
"American basswood",2018,"budburst",86289,142.857142857143,154,14,121,154,30
"American basswood",2018,"budburst",86290,122.846153846154,119,13,118,131,13
"American basswood",2018,"budburst",87757,137.538461538462,125,13,121,154,30
"American basswood",2018,"budburst",87762,124.181818181818,122,11,119,131,12
"American basswood",2018,"budburst",87763,123.076923076923,122,13,118,131,13
"American basswood",2018,"Colored leaves",86289,301,301,2,301,301,0
"American basswood",2018,"Colored leaves",86290,256,256,2,256,256,0
"American basswood",2018,"Colored leaves",87757,301,301,2,301,301,0
"American basswood",2018,"Colored leaves",87763,252,256,5,246,256,10
"American basswood",2018,"flowers",86289,153.1875,154,16,141,162,1.25
"American basswood",2018,"flowers",86290,162,159,14,138,192,29.75
"American basswood",2018,"flowers",87757,135.6,154,10,108,154,46
"American basswood",2018,"flowers",87762,158.25,155,8,145,178,14.25
"American basswood",2018,"flowers",87763,145,145,2,145,145,0
"American basswood",2018,"Fruits",86289,263,252,6,236,301,48.75
"American basswood",2018,"Fruits",86290,230.5,230.5,4,227,234,7
"American basswood",2018,"Fruits",87762,219,219,4,192,246,54
"American basswood",2018,"Increasing leaf size",86289,129.3,128,10,124,139,6.75
"American basswood",2018,"Increasing leaf size",86290,131,131,4,131,131,0
"American basswood",2018,"Increasing leaf size",87757,129.692307692308,131,13,124,139,9
"American basswood",2018,"Increasing leaf size",87762,131,131,4,131,131,0
"American basswood",2018,"Increasing leaf size",87763,137.857142857143,131,7,131,147,16
"American basswood",2018,"leaf drop",86289,301,301,2,301,301,0
"American basswood",2018,"leaf drop",86290,256,256,2,256,256,0
"American basswood",2018,"leaf drop",87757,301,301,2,301,301,0
"American basswood",2018,"leaf drop",87763,251.714285714286,251,7,246,256,7.5
"American basswood",2018,"leafout",86289,164.731707317073,154,41,124,301,36
"American basswood",2018,"leafout",86290,167.709677419355,151,31,122,256,44
"American basswood",2018,"leafout",87757,164.969696969697,154,33,124,301,31
"American basswood",2018,"leafout",87762,164.111111111111,151,18,131,246,34
"American basswood",2018,"leafout",87763,179.666666666667,147,21,122,256,115
"American basswood",2018,"Open flowers",86290,192,192,2,192,192,0
"American basswood",2018,"Recent fruit or seed drop",86289,244,244,4,236,252,16
"American basswood",2018,"Recent fruit or seed drop",86290,230.5,230.5,4,227,234,7
"American basswood",2018,"Ripe fruits",86289,276.5,276.5,4,252,301,49
"American basswood",2018,"Ripe fruits",86290,230.5,230.5,4,227,234,7
"American basswood",2019,"budburst",86289,123,123,2,123,123,0
"American basswood",2019,"budburst",86290,114,114,2,114,114,0
"American basswood",2019,"budburst",87762,115,112.5,8,109,126,6.5
"American basswood",2019,"Colored leaves",86289,283.428571428571,287,7,278,288,9.5
"American basswood",2019,"Colored leaves",86290,310,310,4,306,314,8
"American basswood",2019,"Colored leaves",87757,275.333333333333,278,6,260,288,21
"American basswood",2019,"Colored leaves",87762,310,310,4,306,314,8
"American basswood",2019,"Colored leaves",87763,251,251,2,251,251,0
"American basswood",2019,"flowers",86289,154,154,2,154,154,0
"American basswood",2019,"flowers",86290,178,178,2,178,178,0
"American basswood",2019,"flowers",87757,152,152,2,152,152,0
"American basswood",2019,"flowers",87762,178,178,2,178,178,0
"American basswood",2019,"flowers",87763,156,156,4,147,165,18
"American basswood",2019,"Fruits",86289,260.888888888889,278,9,209,288,18
"American basswood",2019,"Fruits",86290,270.5,270.5,4,227,314,87
"American basswood",2019,"Fruits",87757,243.285714285714,260,7,209,278,60
"American basswood",2019,"Fruits",87762,282.333333333333,306,6,227,314,65.25
"American basswood",2019,"Fruits",87763,282.333333333333,306,6,227,314,65.25
"American basswood",2019,"Increasing leaf size",86289,133.2,140,5,123,140,17
"American basswood",2019,"Increasing leaf size",86290,129,128,6,124,135,8.25
"American basswood",2019,"Increasing leaf size",87757,140,140,3,140,140,0
"American basswood",2019,"Increasing leaf size",87762,126,126,6,124,128,3
"American basswood",2019,"Increasing leaf size",87763,147,147,2,147,147,0
"American basswood",2019,"leaf drop",86290,310,310,4,306,314,8
"American basswood",2019,"leaf drop",87757,275.333333333333,278,6,260,288,21
"American basswood",2019,"leaf drop",87762,310,310,4,306,314,8
"American basswood",2019,"leafout",86289,203.888888888889,181.5,18,123,288,136.25
"American basswood",2019,"leafout",86290,195.875,166.5,16,124,314,113.5
"American basswood",2019,"leafout",87757,192.7,180.5,10,140,288,66
"American basswood",2019,"leafout",87762,173.181818181818,135,22,111,314,90.25
