"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","interquartile_range"
"American basswood",2015,"budburst",86289,207,207,2,119,295,88
"American basswood",2015,"budburst",87757,183,183,1,183,183,0
"American basswood",2015,"budburst",87762,137,137,2,137,137,0
"American basswood",2015,"budburst",87763,137,137,2,137,137,0
"American basswood",2015,"Colored leaves",86289,288.2,295,5,256,313,19
"American basswood",2015,"Colored leaves",86290,273.428571428571,268,7,242,308,27
"American basswood",2015,"Colored leaves",87757,277.666666666667,279,3,256,298,21
"American basswood",2015,"Colored leaves",87762,274.666666666667,277.5,6,242,308,29.5
"American basswood",2015,"Colored leaves",87763,260.5,260.5,8,230,288,26.25
"American basswood",2015,"flowers",86289,165.75,163,4,154,183,20.75
"American basswood",2015,"flowers",86290,149.25,147.5,4,137,165,22.75
"American basswood",2015,"flowers",87757,183,183,1,183,183,0
"American basswood",2015,"flowers",87762,137,137,2,137,137,0
"American basswood",2015,"Fruits",86289,241.666666666667,248,9,202,298,29
"American basswood",2015,"Fruits",86290,162,162,1,162,162,0
"American basswood",2015,"Fruits",87762,218.5,218.5,2,189,248,29.5
"American basswood",2015,"Increasing leaf size",86289,277,277,2,256,298,21
"American basswood",2015,"Increasing leaf size",86290,137,137,2,137,137,0
"American basswood",2015,"Increasing leaf size",87757,245.666666666667,256,3,183,298,57.5
"American basswood",2015,"Increasing leaf size",87762,137,137,2,137,137,0
"American basswood",2015,"Increasing leaf size",87763,145.333333333333,137,3,137,162,12.5
"American basswood",2015,"leaf drop",86289,288.2,295,5,256,313,19
"American basswood",2015,"leaf drop",86290,273.428571428571,268,7,242,308,27
"American basswood",2015,"leaf drop",87757,270.25,267.5,4,248,298,29.75
"American basswood",2015,"leaf drop",87762,273.428571428571,268,7,242,308,27
"American basswood",2015,"leaf drop",87763,265.666666666667,267,6,230,288,24.5
"American basswood",2015,"leafout",86289,227.444444444444,236.5,18,144,313,66.5
"American basswood",2015,"leafout",86290,216.529411764706,230,17,137,308,104
"American basswood",2015,"leafout",87757,220.833333333333,248.5,12,144,298,90.5
"American basswood",2015,"leafout",87762,224.75,236,16,137,308,83.5
"American basswood",2015,"leafout",87763,211.352941176471,220,17,137,288,93
"American basswood",2015,"Open flowers",86289,183,183,1,183,183,0
"American basswood",2015,"Open flowers",87757,183,183,1,183,183,0
"American basswood",2015,"Recent fruit or seed drop",86289,258,256,3,220,298,39
"American basswood",2015,"Recent fruit or seed drop",87762,230,230,1,230,230,0
"American basswood",2015,"Ripe fruits",86289,252.571428571429,249,7,220,298,4.5
"American basswood",2016,"budburst",86289,122.078947368421,114.5,38,94,189,21.5
"American basswood",2016,"budburst",86290,117.928571428571,119,14,111,130,5.5
"American basswood",2016,"budburst",87757,115.941176470588,114,34,94,157,18.25
"American basswood",2016,"budburst",87762,124.25,120,16,111,150,11.25
"American basswood",2016,"budburst",87763,118.666666666667,119,21,105,150,10
"American basswood",2016,"Colored leaves",86289,227.28,262,25,119,318,152
"American basswood",2016,"Colored leaves",86290,288.25,291.5,28,240,323,36.25
"American basswood",2016,"Colored leaves",87757,244.24,290,25,127,315,152
"American basswood",2016,"Colored leaves",87762,286.928571428571,291.5,28,215,323,31.75
"American basswood",2016,"Colored leaves",87763,269.217391304348,279,23,148,304,30.5
"American basswood",2016,"flowers",86289,163.388888888889,158,18,142,189,20.25
"American basswood",2016,"flowers",86290,160.666666666667,159,18,130,190,28.25
"American basswood",2016,"flowers",87757,149.75,159,4,115,166,12.75
"American basswood",2016,"flowers",87762,160.764705882353,162,17,130,190,27
"American basswood",2016,"flowers",87763,166.285714285714,167,21,130,193,24
"American basswood",2016,"Fruits",86289,274.181818181818,284,11,220,311,52
"American basswood",2016,"Fruits",86290,269.8,276.5,30,199,336,45.5
"American basswood",2016,"Fruits",87757,263.5,255,4,247,297,23
"American basswood",2016,"Fruits",87762,272.484848484848,281,33,189,336,51
"American basswood",2016,"Fruits",87763,268.894736842105,280,38,178,336,63.5
"American basswood",2016,"Increasing leaf size",86289,149.666666666667,151,27,118,201,20
"American basswood",2016,"Increasing leaf size",86290,135.764705882353,139,17,119,156,23
"American basswood",2016,"Increasing leaf size",87757,155.086956521739,152,23,127,201,18.5
"American basswood",2016,"Increasing leaf size",87762,134.6875,136,16,119,156,20.75
"American basswood",2016,"Increasing leaf size",87763,137.5,137,20,112,193,29.25
"American basswood",2016,"leaf drop",86289,304.083333333333,311.5,12,265,330,29.25
"American basswood",2016,"leaf drop",86290,290.3,294.5,20,252,323,25.5
"American basswood",2016,"leaf drop",87757,297.333333333333,300.5,18,262,322,20.25
"American basswood",2016,"leaf drop",87762,288.785714285714,294.5,14,252,315,19.75
"American basswood",2016,"leaf drop",87763,283.736842105263,290,19,215,317,32.5
"American basswood",2016,"leafout",86289,191.603448275862,166,58,118,318,99.5
"American basswood",2016,"leafout",86290,214.088235294118,207,68,115,323,134
"American basswood",2016,"leafout",87757,194.709090909091,161,55,118,312,103.5
"American basswood",2016,"leafout",87762,214.469696969697,207,66,115,323,133.75
"American basswood",2016,"leafout",87763,199.642857142857,180.5,70,115,304,117
"American basswood",2016,"Open flowers",86289,191.444444444444,190,9,188,196,5
"American basswood",2016,"Open flowers",86290,172.75,185.5,4,130,190,20.25
"American basswood",2016,"Open flowers",87762,164.857142857143,179,7,130,190,43.5
"American basswood",2016,"Open flowers",87763,176.428571428571,179,7,130,193,12.5
"American basswood",2016,"Pollen release (flowers)",86289,192.428571428571,193,7,189,196,4.5
"American basswood",2016,"Pollen release (flowers)",86290,189.5,189.5,2,189,190,0.5
"American basswood",2016,"Pollen release (flowers)",87762,184.5,184.5,2,179,190,5.5
"American basswood",2016,"Pollen release (flowers)",87763,185,184.5,4,178,193,12
"American basswood",2016,"Recent fruit or seed drop",86289,261.833333333333,255.5,6,220,312,27.25
"American basswood",2016,"Recent fruit or seed drop",86290,284.95,286,20,240,336,32.5
"American basswood",2016,"Recent fruit or seed drop",87757,290.666666666667,312,3,248,312,32
"American basswood",2016,"Recent fruit or seed drop",87762,283.555555555556,286,18,226,336,35.5
"American basswood",2016,"Recent fruit or seed drop",87763,278,287.5,10,235,304,33.25
"American basswood",2016,"Ripe fruits",86289,278.666666666667,294,6,220,311,46.25
"American basswood",2016,"Ripe fruits",86290,286.333333333333,290,21,240,336,34
"American basswood",2016,"Ripe fruits",87757,297,297,1,297,297,0
"American basswood",2016,"Ripe fruits",87762,294.72,297,25,240,336,35
"American basswood",2016,"Ripe fruits",87763,297.217391304348,298,23,252,336,31
"American basswood",2017,"budburst",86289,102.923076923077,105,52,58,125,12
"American basswood",2017,"budburst",86290,112.526315789474,113,19,101,127,6.5
"American basswood",2017,"budburst",87757,110.173913043478,110,23,104,118,8.5
"American basswood",2017,"budburst",87762,113.111111111111,113,36,97,127,8.75
"American basswood",2017,"budburst",87763,116.818181818182,113,22,106,141,9.25
