"Var1","Frequnclean","Freqclean","percent"
"budburst",5308,4114,0.775056518462698
"Colored leaves",6584,4264,0.647630619684083
"flowers",5817,4337,0.74557331958054
"Fruits",7684,4771,0.620900572618428
"Increasing leaf size",5777,4214,0.729444348277653
"leaf drop",5413,3264,0.602992795122852
"leafout",20431,15715,0.769174293965053
"Open flowers",2722,1945,0.714548126377664
"Pollen release (flowers)",895,533,0.595530726256983
"Recent fruit or seed drop",3068,1527,0.497718383311604
"Ripe fruits",3264,1732,0.530637254901961
