"Common_Name","phase","year","mean_clean","max","min","maxmin_range","interquartile_range"
"American basswood","budburst",2016,117.1,154,94,60,18.25
"American basswood","budburst",2017,104.625,109,98,11,5.25
"American basswood","budburst",2018,119.4,123,117,6,3
"American basswood","budburst",2019,139.285714285714,209,109,100,52
"American basswood","budburst",2020,115.8,123,108,15,8
"American basswood","budburst",2021,111.8,114,108,6,4
"American basswood","Colored leaves",2015,249,256,230,26,6.5
"American basswood","Colored leaves",2016,262.285714285714,311,215,96,22.5
"American basswood","Colored leaves",2017,266.8,301,234,67,61
"American basswood","Colored leaves",2018,261.571428571429,308,231,77,36
"American basswood","Colored leaves",2019,239.272727272727,278,185,93,46
"American basswood","Colored leaves",2020,243.625,261,220,41,23.5
"American basswood","flowers",2015,154,154,154,0,0
"American basswood","flowers",2016,155,176,142,34,2
"American basswood","flowers",2017,142.222222222222,185,110,75,34
"American basswood","flowers",2018,140.666666666667,149,131,18,9
"American basswood","flowers",2019,164.125,209,138,71,46.25
"American basswood","flowers",2020,151,169,145,24,0
"American basswood","flowers",2021,128.333333333333,132,126,6,3
"American basswood","Fruits",2016,245.25,318,193,125,66
"American basswood","Fruits",2017,186.75,193,184,9,3.75
"American basswood","Fruits",2018,234.428571428571,313,188,125,65.5
"American basswood","Fruits",2019,238.25,314,186,128,64.25
"American basswood","Fruits",2020,207.4,253,182,71,29.25
"American basswood","Increasing leaf size",2016,130.857142857143,148,122,26,12.5
"American basswood","Increasing leaf size",2017,113.8,119,107,12,7
"American basswood","Increasing leaf size",2018,129.166666666667,144,124,20,3.25
"American basswood","Increasing leaf size",2019,142,209,111,98,52.5
"American basswood","Increasing leaf size",2020,124.2,126,119,7,1
"American basswood","Increasing leaf size",2021,115.5,121,109,12,6
"American basswood","leaf drop",2015,255.25,256,255,1,0.25
"American basswood","leaf drop",2016,288.166666666667,311,280,31,8
"American basswood","leaf drop",2017,269.428571428571,301,234,67,49.5
"American basswood","leaf drop",2018,260.666666666667,308,227,81,28
"American basswood","leaf drop",2019,266.714285714286,297,243,54,40.5
"American basswood","leaf drop",2020,251.444444444444,270,229,41,11
"American basswood","leafout",2016,173.055555555556,297,115,182,81.75
"American basswood","leafout",2017,110,116,107,9,6
"American basswood","leafout",2018,167.857142857143,282,121,161,81
"American basswood","leafout",2019,186.3,297,111,186,138.25
"American basswood","leafout",2020,161.5,251,119,132,64.5
"American basswood","leafout",2021,115,119,109,10,5.5
"American basswood","Open flowers",2016,182.8,189,176,13,9
"American basswood","Open flowers",2017,177.25,185,172,13,7.75
"American basswood","Open flowers",2018,177,177,177,0,0
"American basswood","Open flowers",2019,191.166666666667,209,178,31,20
"American basswood","Open flowers",2020,179,181,177,4,2
"American basswood","Pollen release (flowers)",2016,189,189,189,0,0
"American basswood","Pollen release (flowers)",2019,196,209,183,26,26
"American basswood","Recent fruit or seed drop",2016,278,293,262,31,21.75
"American basswood","Recent fruit or seed drop",2017,222.25,234,200,34,13.75
"American basswood","Recent fruit or seed drop",2018,252.285714285714,308,202,106,17.5
"American basswood","Recent fruit or seed drop",2019,262.666666666667,297,229,68,22.5
"American basswood","Recent fruit or seed drop",2020,221.8,251,203,48,12
"American basswood","Ripe fruits",2016,279,318,262,56,23
"American basswood","Ripe fruits",2017,230.8,241,221,20,10
"American basswood","Ripe fruits",2018,245,313,218,95,15
"American basswood","Ripe fruits",2019,259.333333333333,314,227,87,49
"American basswood","Ripe fruits",2020,219,253,182,71,3.75
"American beech","budburst",2016,108,115,101,14,14
