Common_Name,tree_id,route,Plant_ID,Species_Nickname,Phenophase_Status,Latitude,Longitude,DBH(cm),indiv_obs#,spp_obs#,Scientific_Names
yellow birch,85759,Birch Route,12843*A,Tree 6,1,42.3020682,-71.12386246,73.8,2165,9015,Betula alleghaniensis
yellow birch,85761,Birch Route,12843*D,Tree 7,1,42.30204101,-71.12388059,70.9,1448,9015,Betula alleghaniensis
yellow birch,85762,Birch Route,12843*E,Tree 9,1,42.30194578,-71.12374252,56.2,1910,9015,Betula alleghaniensis
yellow birch,85763,Birch Route,12843*H,Tree 8,1,42.30199149,-71.12371027,64.6,1419,9015,Betula alleghaniensis
yellow birch,85764,Birch Route,629-83*D,Tree 10,1,42.30183747,-71.12308955,36.5,2073,9015,Betula alleghaniensis
river birch,86258,Birch Route,1199*D,Tree 5,1,42.30215088,-71.12401559,68,1214,8558,Betula nigra
river birch,86259,Birch Route,1251-79*A,Tree 3,1,42.30223154,-71.12410601,78,2122,8558,Betula nigra
river birch,86260,Birch Route,1251-79*B,Tree 2,1,42.30228781,-71.12445659,70.8,2459,8558,Betula nigra
river birch,86261,Birch Route,1199*J,Tree 1,1,42.30252077,-71.12397574,87.5,1357,8558,Betula nigra
river birch,87754,Birch Route,1251-79*E,Tree 4,1,42.3022236,-71.12398789,70,1406,8558,Betula nigra
yellow buckeye,85757,Peters Hill Route,12651*I,Tree 9,1,42.2931417,-71.12879258,59.2,1261,4753,Aesculus flava
eastern cottonwood,86278,Peters Hill Route,16611*F,Tree 2,1,42.29432229,-71.12466088,91.4,1023,4934,Populus deltoides
eastern cottonwood,86279,Peters Hill Route,16611*J,Tree 3,1,42.2941909,-71.12464076,68.6,941,4934,Populus deltoides
eastern cottonwood,86280,Peters Hill Route,16611*K,Tree 4,1,42.29404926,-71.12460511,78.8,976,4934,Populus deltoides
eastern cottonwood,86281,Peters Hill Route,16611*O,Tree 5,1,42.29389083,-71.1246033,84.6,1026,4934,Populus deltoides
eastern cottonwood,86282,Peters Hill Route,22099*A,Tree 6,1,42.29378479,-71.124621,55.7,968,4934,Populus deltoides
American basswood,86289,Peters Hill Route,1323-82*A,Tree 1,1,42.29514117,-71.12601307,83.6,1500,6068,Tilia americana
white oak,87756,Peters Hill Route,611-2010*A,Tree 8,1,42.29281823,-71.12903099,72.7,866,2842,Quercus alba
American basswood,87757,Peters Hill Route,17538*A,Tree 10,1,42.29325928,-71.12871082,80.1,1159,6068,Tilia americana
sugar maple,92209,Peters Hill Route,689-2010*A,Tree 7,1,42.2917509,-71.12781479,73.5,1067,4643,Acer saccharum
possumhaw,169171,Peters Hill Route,1104-81*A,Tree 11,1,42.295173,-71.12621128,NA,656,3743,Viburnum nudum
yellow buckeye,85751,Linden and North Woods Route,12651*C,Tree 7,1,42.30355576,-71.1212595,35.3,758,4753,Aesculus flava
yellow buckeye,85755,Linden and North Woods Route,12651*D,Tree 6,1,42.30351523,-71.12133382,60.2,675,4753,Aesculus flava
yellow buckeye,85756,Linden and North Woods Route,12651*H,Tree 5,1,42.3035604,-71.12143904,49.1,742,4753,Aesculus flava
yellow buckeye,85758,Linden and North Woods Route,925-79*B,Tree 4,1,42.30391297,-71.12232333,44.5,1317,4753,Aesculus flava
American basswood,86290,Linden and North Woods Route,19804*A,Tree 2,1,42.30440147,-71.12199832,80.5,1134,6068,Tilia americana
American basswood,87762,Linden and North Woods Route,7141*A,Tree 3,1,42.30415322,-71.12252621,58.9,1245,6068,Tilia americana
American basswood,87763,Linden and North Woods Route,17527*D,Tree 1,1,42.3051232,-71.12189286,68.1,1030,6068,Tilia americana
American beech,86274,Beech Route,14585*D,Tree 2,1,42.29833046,-71.12294749,88.7,796,3000,Fagus grandifolia
American beech,86276,Beech Route,14585*G,Tree 4,1,42.2983337,-71.12265119,71.2,549,3000,Fagus grandifolia
American beech,135343,Beech Route,14585*B,Tree 1,1,42.29840632,-71.12299131,87.9,230,3000,Fagus grandifolia
American beech,135911,Beech Route,22798*A,Tree 0,1,42.29846024,-71.12307393,73.9,305,3000,Fagus grandifolia
pignut hickory,86262,Hickory Route,20095*A,Tree 6,1,42.30107199,-71.12629543,67.4,641,4050,Carya glabra
pignut hickory,86263,Hickory Route,20098*A,Tree 8,1,42.29994157,-71.1258635,60.3,817,4050,Carya glabra
