"Common_Name","Individual_ID","Scientific_Names","indiv_obs#","spp_obs#","Plant_ID","Species_Nickname","Latitude","Longitude","DBH(cm)","Route_Name","route_obs#"
"yellow buckeye",85751,"Aesculus flava",59,297,"12651*C","Tree 7",42.30355576,-71.1212595,35.3,"Linden North Woods Route",439
"yellow buckeye",85755,"Aesculus flava",48,297,"12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",439
"yellow buckeye",85756,"Aesculus flava",38,297,"12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",439
"yellow buckeye",85758,"Aesculus flava",77,297,"925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",439
"yellow birch",85759,"Betula alleghaniensis",149,598,"12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",1108
"yellow birch",85761,"Betula alleghaniensis",102,598,"12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",1108
"yellow birch",85762,"Betula alleghaniensis",132,598,"12843*E","Tree 9",42.30194578,-71.12374252,56.2,"Birch Route",1108
"yellow birch",85763,"Betula alleghaniensis",97,598,"12843*H","Tree 8",42.30199149,-71.12371027,64.6,"Birch Route",1108
"yellow birch",85764,"Betula alleghaniensis",118,598,"629-83*D","Tree 10",42.30183747,-71.12308955,36.5,"Birch Route",1108
"river birch",86258,"Betula nigra",79,510,"1199*D","Tree 5",42.30215088,-71.12401559,68,"Birch Route",1108
"river birch",86259,"Betula nigra",121,510,"1251-79*A","Tree 3",42.30223154,-71.12410601,78,"Birch Route",1108
"river birch",86260,"Betula nigra",136,510,"1251-79*B","Tree 2",42.30228781,-71.12445659,70.8,"Birch Route",1108
"river birch",86261,"Betula nigra",83,510,"1199*J","Tree 1",42.30252077,-71.12397574,87.5,"Birch Route",1108
"pignut hickory",86265,"Carya glabra",60,286,"2019*S","Tree 9",42.29994973,-71.12573747,64.5,"Hickory Route",640
"shagbark hickory",86268,"Carya ovata",70,354,"12907*B","Tree 3",42.30172976,-71.12580046,54.2,"Hickory Route",640
"shagbark hickory",86270,"Carya ovata",82,354,"12907*G","Tree 2",42.30181554,-71.1256858,57.7,"Hickory Route",640
"shagbark hickory",86271,"Carya ovata",61,354,"12907*I","Tree 1",42.30185516,-71.12559225,49.1,"Hickory Route",640
"shagbark hickory",86272,"Carya ovata",77,354,"12907*N","Tree 5",42.30163563,-71.12561522,58.8,"Hickory Route",640
