"Scientific_Names","Common_Name","Individual_ID","Plant_ID","Species_Nickname","Latitude","Longitude","DBH(cm)","Route_Name","indiv_obs#","spp_obs#"
"Aesculus flava","yellow buckeye",85751,"12651*C","Tree 7",42.30355576,-71.1212595,35.3,"Linden North Woods Route",140,829
"Aesculus flava","yellow buckeye",85755,"12651*D","Tree 6",42.30351523,-71.12133382,60.2,"Linden North Woods Route",126,829
"Aesculus flava","yellow buckeye",85756,"12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829
"Aesculus flava","yellow buckeye",85757,"12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829
"Aesculus flava","yellow buckeye",85758,"925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829
"Betula alleghaniensis","yellow birch",85759,"12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181
"Betula alleghaniensis","yellow birch",85761,"12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181
"Betula alleghaniensis","yellow birch",85762,"12843*E","Tree 9",42.30194578,-71.12374252,56.2,"Birch Route",434,2181
"Betula alleghaniensis","yellow birch",85763,"12843*H","Tree 8",42.30199149,-71.12371027,64.6,"Birch Route",390,2181
"Betula alleghaniensis","yellow birch",85764,"629-83*D","Tree 10",42.30183747,-71.12308955,36.5,"Birch Route",495,2181
"Betula nigra","river birch",86258,"1199*D","Tree 5",42.30215088,-71.12401559,68,"Birch Route",311,1928
"Betula nigra","river birch",86259,"1251-79*A","Tree 3",42.30223154,-71.12410601,78,"Birch Route",490,1928
"Betula nigra","river birch",86260,"1251-79*B","Tree 2",42.30228781,-71.12445659,70.8,"Birch Route",467,1928
"Betula nigra","river birch",86261,"1199*J","Tree 1",42.30252077,-71.12397574,87.5,"Birch Route",334,1928
"Carya glabra","pignut hickory",86262,"20095*A","Tree 6",42.30107199,-71.12629543,67.4,"Hickory Route",169,955
"Carya glabra","pignut hickory",86263,"20098*A","Tree 8",42.29994157,-71.1258635,60.3,"Hickory Route",203,955
"Carya glabra","pignut hickory",86264,"6990*A","Tree 7",42.30020379,-71.12586584,43.1,"Hickory Route",161,955
"Carya glabra","pignut hickory",86265,"2019*S","Tree 9",42.29994973,-71.12573747,64.5,"Hickory Route",206,955
"Carya glabra","pignut hickory",86266,"2019*R","Tree 10",42.2999657,-71.12566127,45.5,"Hickory Route",216,955
"Carya ovata","shagbark hickory",86268,"12907*B","Tree 3",42.30172976,-71.12580046,54.2,"Hickory Route",238,1280
"Carya ovata","shagbark hickory",86269,"12907*D","Tree 4",42.30168924,-71.12587438,49.7,"Hickory Route",233,1280
"Carya ovata","shagbark hickory",86270,"12907*G","Tree 2",42.30181554,-71.1256858,57.7,"Hickory Route",283,1280
