common_name,year,phase,tree_id,doy_mean,doy_median,obs_number,first_doy,last_doy,maximn_range,interquartile_range,Common_Name,route,Plant_ID,Species_Nickname,Phenophase_Status,Latitude,Longitude,DBH.cm.,indiv_obs.,spp_obs.,Scientific_Names
American basswood,2019,leafout,86289,206.3846154,186,39,123,302,179,131,American basswood,Peters Hill Route,1323-82*A,Tree 1,1,42.29514117,-71.12601307,83.6,1500,6068,Tilia americana
American basswood,2019,leafout,86290,194.6315789,176.5,38,124,314,190,83,American basswood,Linden and North Woods Route,19804*A,Tree 2,1,42.30440147,-71.12199832,80.5,1134,6068,Tilia americana
American basswood,2019,leafout,87757,176.0769231,152,26,123,288,165,74.25,American basswood,Peters Hill Route,17538*A,Tree 10,1,42.29325928,-71.12871082,80.1,1159,6068,Tilia americana
American basswood,2019,leafout,87762,179.3333333,163,45,111,314,203,87,American basswood,Linden and North Woods Route,7141*A,Tree 3,1,42.30415322,-71.12252621,58.9,1245,6068,Tilia americana
American basswood,2019,leafout,87763,191.1025641,191,39,111,286,175,103.5,American basswood,Linden and North Woods Route,17527*D,Tree 1,1,42.3051232,-71.12189286,68.1,1030,6068,Tilia americana
American beech,2019,leafout,86274,205.36,202.5,50,115,315,200,107.5,American beech,Beech Route,14585*D,Tree 2,1,42.29833046,-71.12294749,88.7,796,3000,Fagus grandifolia
American beech,2019,leafout,86276,197.1,179.5,30,119,315,196,99.25,American beech,Beech Route,14585*G,Tree 4,1,42.2983337,-71.12265119,71.2,549,3000,Fagus grandifolia
American beech,2019,leafout,135911,147,147,1,147,147,0,0,American beech,Beech Route,22798*A,Tree 0,1,42.29846024,-71.12307393,73.9,305,3000,Fagus grandifolia
American witchhazel,2019,leafout,166776,197.3333333,184,57,115,299,184,123,American witchhazel,Shrub Route,22947*B,Tree 10,1,42.30000187,-71.1252044,8.2,539,2776,Hamamelis virginiana
American witchhazel,2019,leafout,166777,202.3770492,188,61,115,311,196,132,American witchhazel,Shrub Route,22947*C,Tree 11,1,42.29994906,-71.12512975,5.4,558,2776,Hamamelis virginiana
American witchhazel,2019,leafout,166778,202.6923077,203.5,52,115,299,184,126,American witchhazel,Shrub Route,493-2009*A,Tree 12,1,42.29979127,-71.12506756,7.6,529,2776,Hamamelis virginiana
American witchhazel,2019,leafout,166779,201.7192982,199,57,111,299,188,110,American witchhazel,Shrub Route,14693*A,Tree 13,1,42.29867372,-71.12325239,7.4,576,2776,Hamamelis virginiana
American witchhazel,2019,leafout,166780,200.2222222,199,63,111,299,188,107.5,American witchhazel,Shrub Route,14693*B,Tree 14,1,42.29865474,-71.12323151,9.2,574,2776,Hamamelis virginiana
eastern cottonwood,2019,leafout,86278,173.6511628,154,43,123,300,177,46,eastern cottonwood,Peters Hill Route,16611*F,Tree 2,1,42.29432229,-71.12466088,91.4,1023,4934,Populus deltoides
eastern cottonwood,2019,leafout,86279,174.5,155.5,38,128,288,160,43.5,eastern cottonwood,Peters Hill Route,16611*J,Tree 3,1,42.2941909,-71.12464076,68.6,941,4934,Populus deltoides
eastern cottonwood,2019,leafout,86280,178.3157895,156,38,128,300,172,60.75,eastern cottonwood,Peters Hill Route,16611*K,Tree 4,1,42.29404926,-71.12460511,78.8,976,4934,Populus deltoides
eastern cottonwood,2019,leafout,86281,173.8947368,155.5,38,128,288,160,45.75,eastern cottonwood,Peters Hill Route,16611*O,Tree 5,1,42.29389083,-71.1246033,84.6,1026,4934,Populus deltoides
eastern cottonwood,2019,leafout,86282,172.0526316,154.5,38,128,288,160,45.5,eastern cottonwood,Peters Hill Route,22099*A,Tree 6,1,42.29378479,-71.124621,55.7,968,4934,Populus deltoides
highbush blueberry,2019,leafout,166768,193.5952381,179,84,111,321,210,93.75,highbush blueberry,Shrub Route,386-71*B,Tree 1,1,42.30571912,-71.12155379,NA,492,1994,Vaccinium corymbosum
highbush blueberry,2019,leafout,166769,190,174.5,58,117,305,188,100.75,highbush blueberry,Shrub Route,285-2007*E,Tree 2,1,42.30474282,-71.12165296,NA,398,1994,Vaccinium corymbosum
highbush blueberry,2019,leafout,166773,200.8181818,178,33,124,321,197,102,highbush blueberry,Shrub Route,529-2009*A,Tree 3,1,42.30327357,-71.1211043,NA,279,1994,Vaccinium corymbosum
highbush blueberry,2019,leafout,166774,207.5277778,180,36,124,335,211,92.5,highbush blueberry,Shrub Route,530-2009*A,Tree 4,1,42.30325355,-71.12108527,NA,283,1994,Vaccinium corymbosum
highbush blueberry,2019,leafout,166775,188.2682927,169,82,111,321,210,99.25,highbush blueberry,Shrub Route,657-2008*A,Tree 5,1,42.30216796,-71.12054823,NA,542,1994,Vaccinium corymbosum
