"Common_Name","phase","year","doy","id","Scientific_Names"
"yellow buckeye","leafout",2015,165,85751,"Aesculus flava"
"yellow buckeye","leafout",2015,165,85755,"Aesculus flava"
"yellow buckeye","leafout",2015,165,85756,"Aesculus flava"
"yellow buckeye","leafout",2015,144,85757,"Aesculus flava"
"yellow buckeye","leafout",2015,147,85758,"Aesculus flava"
"yellow birch","budburst",2015,138,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,165,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,172,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,177,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,191,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,218,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,228,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,240,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,247,85759,"Betula alleghaniensis"
"yellow birch","leafout",2015,138,85759,"Betula alleghaniensis"
"yellow birch","budburst",2015,138,85761,"Betula alleghaniensis"
"yellow birch","budburst",2015,142,85761,"Betula alleghaniensis"
"yellow birch","budburst",2015,177,85761,"Betula alleghaniensis"
"yellow birch","budburst",2015,191,85761,"Betula alleghaniensis"
"yellow birch","leafout",2015,138,85761,"Betula alleghaniensis"
"yellow birch","budburst",2015,138,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,172,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,177,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,191,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,218,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,228,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,240,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,247,85762,"Betula alleghaniensis"
"yellow birch","leafout",2015,138,85762,"Betula alleghaniensis"
"yellow birch","budburst",2015,138,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,172,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,177,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,191,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,218,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,228,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,240,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,247,85763,"Betula alleghaniensis"
"yellow birch","leafout",2015,138,85763,"Betula alleghaniensis"
"yellow birch","budburst",2015,138,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,165,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,177,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,191,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,218,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,228,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,240,85764,"Betula alleghaniensis"
"yellow birch","budburst",2015,247,85764,"Betula alleghaniensis"
"yellow birch","leafout",2015,138,85764,"Betula alleghaniensis"
"river birch","budburst",2015,138,86258,"Betula nigra"
"river birch","budburst",2015,165,86258,"Betula nigra"
"river birch","budburst",2015,172,86258,"Betula nigra"
"river birch","budburst",2015,177,86258,"Betula nigra"
"river birch","budburst",2015,191,86258,"Betula nigra"
"river birch","budburst",2015,207,86258,"Betula nigra"
"river birch","budburst",2015,218,86258,"Betula nigra"
"river birch","budburst",2015,228,86258,"Betula nigra"
"river birch","budburst",2015,240,86258,"Betula nigra"
"river birch","budburst",2015,247,86258,"Betula nigra"
"river birch","leafout",2015,138,86258,"Betula nigra"
"river birch","budburst",2015,138,86259,"Betula nigra"
"river birch","budburst",2015,165,86259,"Betula nigra"
"river birch","budburst",2015,172,86259,"Betula nigra"
"river birch","budburst",2015,177,86259,"Betula nigra"
"river birch","budburst",2015,182,86259,"Betula nigra"
"river birch","budburst",2015,191,86259,"Betula nigra"
"river birch","budburst",2015,207,86259,"Betula nigra"
"river birch","budburst",2015,218,86259,"Betula nigra"
"river birch","budburst",2015,228,86259,"Betula nigra"
