"Common_Name","phase","year","doy","id","Scientific_Names"
"yellow buckeye","leafout",2015,165,85751,"Aesculus flava"
"yellow buckeye","Colored leaves",2015,218,85751,"Aesculus flava"
"yellow buckeye","Fruits",2015,165,85751,"Aesculus flava"
"yellow buckeye","Ripe fruits",2015,242,85755,"Aesculus flava"
"yellow buckeye","Ripe fruits",2015,268,85755,"Aesculus flava"
"yellow buckeye","leaf drop",2015,266,85755,"Aesculus flava"
"yellow buckeye","leaf drop",2015,308,85755,"Aesculus flava"
"yellow buckeye","leafout",2015,165,85755,"Aesculus flava"
"yellow buckeye","Colored leaves",2015,218,85755,"Aesculus flava"
"yellow buckeye","Colored leaves",2015,255,85755,"Aesculus flava"
"yellow buckeye","Recent fruit or seed drop",2015,266,85755,"Aesculus flava"
"yellow buckeye","Fruits",2015,230,85755,"Aesculus flava"
"yellow buckeye","Fruits",2015,268,85755,"Aesculus flava"
"yellow buckeye","Ripe fruits",2015,255,85756,"Aesculus flava"
"yellow buckeye","leaf drop",2015,230,85756,"Aesculus flava"
"yellow buckeye","leaf drop",2015,255,85756,"Aesculus flava"
"yellow buckeye","leaf drop",2015,308,85756,"Aesculus flava"
"yellow buckeye","leafout",2015,165,85756,"Aesculus flava"
"yellow buckeye","Colored leaves",2015,165,85756,"Aesculus flava"
"yellow buckeye","Colored leaves",2015,230,85756,"Aesculus flava"
"yellow buckeye","Colored leaves",2015,255,85756,"Aesculus flava"
"yellow buckeye","Recent fruit or seed drop",2015,242,85756,"Aesculus flava"
"yellow buckeye","Recent fruit or seed drop",2015,266,85756,"Aesculus flava"
"yellow buckeye","Fruits",2015,230,85756,"Aesculus flava"
"yellow buckeye","Ripe fruits",2015,279,85757,"Aesculus flava"
"yellow buckeye","Increasing leaf size",2015,183,85757,"Aesculus flava"
"yellow buckeye","Increasing leaf size",2015,256,85757,"Aesculus flava"
"yellow buckeye","Increasing leaf size",2015,298,85757,"Aesculus flava"
"yellow buckeye","leaf drop",2015,248,85757,"Aesculus flava"
"yellow buckeye","leafout",2015,144,85757,"Aesculus flava"
