scientific_names,bb_mean,flower_mean,fruit_mean,leafout_mean,col.leaves_mean,leafdrop_mean,last_obs_mean
Acer rubrum,109,86,119,117,253,271,271
Acer saccharum,119,109,134,120,276,280,281
Aesculus flava,110,114,158,113,222,249,249
Betula alleghaniensis,109,114,172,119,257,267,267
Betula nigra,115,118,152,132,242,250,250
Carya glabra,115,125,169,121,258,264,264
Carya ovata,117,128,169,126,268,276,276
Fagus grandifolia,110,114,159,117,275,280,280
Hamamelis virginiana,110,242,161,116,224,261,261
Populus deltoides,118,112,132,127,249,250,250
Quercus alba,116,127,234,154,276,287,287
Quercus rubra,115,123,222,138,269,281,281
Tilia americana,111,141,197,117,247,259,259
Vaccinium corymbosum,95,98,153,118,247,264,264
Viburnum nudum,111,106,164,102,241,271,271
